Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1961","1961","gigagrams","18.8806","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1962","1962","gigagrams","18.8806","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1963","1963","gigagrams","19.4528","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1964","1964","gigagrams","19.4528","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1965","1965","gigagrams","19.7388","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1966","1966","gigagrams","20.597","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1967","1967","gigagrams","22.4851","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1968","1968","gigagrams","22.4851","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1969","1969","gigagrams","22.6567","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1970","1970","gigagrams","20.7458","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1971","1971","gigagrams","24.1683","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1972","1972","gigagrams","23.8468","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1973","1973","gigagrams","25.7806","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1974","1974","gigagrams","27.9082","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1975","1975","gigagrams","28.292","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1976","1976","gigagrams","27.9526","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1977","1977","gigagrams","25.9748","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1978","1978","gigagrams","23.5548","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1979","1979","gigagrams","22.4366","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1980","1980","gigagrams","21.0605","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1981","1981","gigagrams","22.2562","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1982","1982","gigagrams","22.2562","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1983","1983","gigagrams","21.8729","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1984","1984","gigagrams","20.5856","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1985","1985","gigagrams","20.0878","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1986","1986","gigagrams","20.0936","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1987","1987","gigagrams","17.3988","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1988","1988","gigagrams","18.5373","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1989","1989","gigagrams","19.0179","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1990","1990","gigagrams","17.1413","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1991","1991","gigagrams","17.1642","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1992","1992","gigagrams","16.0199","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1993","1993","gigagrams","14.8756","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1994","1994","gigagrams","13.9602","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1995","1995","gigagrams","13.9602","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1996","1996","gigagrams","14.0174","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1997","1997","gigagrams","14.1319","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1998","1998","gigagrams","14.5896","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1999","1999","gigagrams","18.3657","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2000","2000","gigagrams","18.3657","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2001","2001","gigagrams","18.3657","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2002","2002","gigagrams","18.4057","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2003","2003","gigagrams","17.496","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2004","2004","gigagrams","18.1712","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2005","2005","gigagrams","19.6473","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2006","2006","gigagrams","17.2271","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2007","2007","gigagrams","17.1299","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2008","2008","gigagrams","19.4814","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2009","2009","gigagrams","19.0008","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2010","2010","gigagrams","19.1667","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2011","2011","gigagrams","18.7433","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2012","2012","gigagrams","18.6207","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2013","2013","gigagrams","18.2684","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2014","2014","gigagrams","19.7446","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2015","2015","gigagrams","19.7503","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2016","2016","gigagrams","20.9747","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2017","2017","gigagrams","21.5983","Fc","Calculated data"
