Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1961","1961","gigagrams","236.1904","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1962","1962","gigagrams","247.0404","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1963","1963","gigagrams","276.0441","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1964","1964","gigagrams","277.9985","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1965","1965","gigagrams","258.0196","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1966","1966","gigagrams","240.3253","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1967","1967","gigagrams","217.1867","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1968","1968","gigagrams","221.324","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1969","1969","gigagrams","199.4181","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1970","1970","gigagrams","208.2606","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1971","1971","gigagrams","199.0184","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1972","1972","gigagrams","171.887","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1973","1973","gigagrams","171.4736","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1974","1974","gigagrams","166.387","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1975","1975","gigagrams","152.2121","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1976","1976","gigagrams","155.9788","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1977","1977","gigagrams","174.7597","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1978","1978","gigagrams","169.8114","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1979","1979","gigagrams","159.8016","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1980","1980","gigagrams","156.4257","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1981","1981","gigagrams","151.4439","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1982","1982","gigagrams","146.223","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1983","1983","gigagrams","147.1714","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1984","1984","gigagrams","157.2591","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1985","1985","gigagrams","163.7691","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1986","1986","gigagrams","156.7602","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1035","Meat, pig","1987","1987","gigagrams","153.3476","Fc","Calculated data"
