Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1961","1961","gigagrams","15064.617","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1962","1962","gigagrams","15228.0308","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1963","1963","gigagrams","15601.7648","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1964","1964","gigagrams","15944.1748","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1965","1965","gigagrams","16707.613","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1966","1966","gigagrams","17825.2836","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1967","1967","gigagrams","18660.4566","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1968","1968","gigagrams","18798.3556","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1969","1969","gigagrams","18631.6841","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1970","1970","gigagrams","18736.966","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1971","1971","gigagrams","18312.9287","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1972","1972","gigagrams","18925.5315","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1973","1973","gigagrams","17620.2902","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1974","1974","gigagrams","17371.3597","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1975","1975","gigagrams","17196.3474","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1976","1976","gigagrams","17532.1872","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1977","1977","gigagrams","18372.866","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1978","1978","gigagrams","19323.4672","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1979","1979","gigagrams","19746.3655","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1980","1980","gigagrams","21377.8624","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1981","1981","gigagrams","21723.5252","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1982","1982","gigagrams","21853.3669","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1983","1983","gigagrams","21841.281","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1984","1984","gigagrams","21678.5287","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1985","1985","gigagrams","21092.4503","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1986","1986","gigagrams","20973.0532","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1987","1987","gigagrams","19970.3483","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1988","1988","gigagrams","20081.0813","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1989","1989","gigagrams","18827.904","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1990","1990","gigagrams","17983.485","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1991","1991","gigagrams","17147.1233","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1992","1992","gigagrams","16340.882","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1993","1993","gigagrams","15635.3592","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1994","1994","gigagrams","15376.6356","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1995","1995","gigagrams","15174.6488","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","977","Meat, sheep","1996","1996","gigagrams","14732.5037","Fc","Calculated data"
