Domain,Area,Element,Item,Year,Value
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1961","8801.3988"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1962","8812.1505"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1963","8830.0702"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1964","8840.8219"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1965","8858.7415"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1966","8855.1576"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1967","8862.3255"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1968","8830.0702"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1969","8790.647"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1970","8774.8777"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1971","8790.647"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1972","8793.5141"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1973","8820.0352"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1974","8847.273"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1975","8874.5108"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1976","8901.7486"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1977","8928.9864"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1978","8956.2243"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1979","8984.1789"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1980","8946.9061"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1981","9452.2392"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1982","9566.208"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1983","9681.6103"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1984","9799.163"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1985","9916.7157"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1986","9652.2279"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1987","9656.5286"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1988","9661.5461"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1989","9665.8468"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1990","9670.1475"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1991","9673.7314"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1992","9678.0321"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1993","9681.6161"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1994","9685.911"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1995","9689.495"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1996","10105.2301"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1997","10292.3108"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1998","10485.1259"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","1999","10539.6016"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","2000","10887.2421"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","2001","11095.1097"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","2002","11309.4283"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","2003","11530.1979"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","2004","11753.8348"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","2005","11980.3387"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","2006","14936.9407"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","2007","15499.7514"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","2008","16084.6476"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","2009","16690.3307"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","2010","17326.8354"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","2011","17972.6584"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","2012","18650.7367"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","2013","19353.1857"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","2014","20082.8724"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","2015","20839.797"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","2016","21628.9769"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, cattle","2017","22433.9261"
