Domain,Area,Element,Item,Year,Value
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1961","6290.3015"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1962","6473.0705"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1963","6671.0703"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1964","6869.0701"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1965","7082.3007"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1966","8660.2068"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1967","8846.022"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1968","9036.4064"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1969","9229.837"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1970","9426.3137"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1971","9628.8828"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1972","9836.021"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1973","10047.7285"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1974","10262.4821"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1975","10481.805"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1976","10705.6971"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1977","10934.1584"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1978","11168.712"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1979","11406.3118"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1980","11599.7423"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1981","12023.1573"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1982","12306.4493"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1983","12594.3106"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1984","12891.3103"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1985","13194.4023"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1986","15200.2926"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1987","15587.1538"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1988","15983.1534"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1989","16389.8145"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1990","16807.1494"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1991","17236.6444"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1992","17675.3023"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1993","18124.5974"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1994","18586.0892"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1995","19059.7657"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1996","18982.0889"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1997","19512.1191"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1998","20057.3801"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","1999","20628.5334"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","2000","21224.0559"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","2001","21848.5168"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","2002","22498.87"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","2003","23246.7"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","2004","23868.1148"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","2005","24628.1294"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","2006","26064.0103"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","2007","26833.5426"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","2008","27654.4803"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","2009","28493.6948"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","2010","27261.5268"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","2011","30249.8008"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","2012","31166.6921"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","2013","31995.2452"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","2014","32947.1673"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","2015","33926.5048"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","2016","34876.9039"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, buffalo","2017","36508.4618"
