Domain,Area,Element,Item,Year,Value
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1961","35.3788"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1962","37.1269"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1963","41.2058"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1964","44.3275"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1965","44.9518"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1966","49.114"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1967","51.8195"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1968","51.6114"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1969","53.6925"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1970","52.4438"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1971","42.6626"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1972","36.6274"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1973","40.902"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1974","46.6292"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1975","55.4406"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1976","63.0033"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1977","64.9512"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1978","61.0554"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1979","55.2075"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1980","78.1621"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1981","85.3127"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1982","90.3906"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1983","105.5785"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1984","113.3077"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1985","122.6394"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1986","145.107"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1987","149.5855"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1988","172.1405"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1989","176.8272"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1990","158.1638"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1991","149.8394"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1992","162.3261"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1993","212.2725"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1994","332.9765"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1995","449.5183"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1996","557.7357"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1997","616.0066"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1998","395.4096"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","1999","366.2742"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","2000","370.4364"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","2001","382.923"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","2002","428.7073"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","2003","449.5183"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","2004","457.8427"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","2005","466.1671"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","2006","599.3577"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","2007","661.7908"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","2008","736.7105"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","2009","811.6303"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","2010","899.0366"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","2011","978.1185"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","2012","1094.6603"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","2013","1125.8768"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","2014","1252.8241"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","2015","1377.9109"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","2016","1486.1233"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, chicken","2017","1443.9695"
