Domain,Area,Element,Item,Year,Value
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1961","3181.5167"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1962","3231.7512"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1963","3265.2408"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1964","3315.4753"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1965","3348.965"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1966","3432.6891"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1967","3491.296"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1968","3641.9994"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1969","3809.4476"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1970","3921.638"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1971","3960.1511"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1972","4028.8048"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1973","4042.2007"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1974","4053.9221"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1975","4067.3179"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1976","4079.0393"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1977","4092.4352"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1978","4104.1566"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1979","4115.8779"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1980","4279.9772"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1981","4331.8862"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1982","4383.7951"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1983","4437.3786"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1984","4489.2875"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1985","4544.5454"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1986","6823.5161"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1987","6870.4016"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1988","6915.6126"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1989","6962.4981"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1990","7009.3837"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1991","7057.9436"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1992","7104.8292"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1993","7153.3891"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1994","7201.9491"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1995","7250.5091"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1996","10592.7762"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1997","10788.6906"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1998","10991.303"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","1999","11533.8353"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","2000","11411.5981"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","2001","11629.2808"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","2002","11855.336"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","2003","12084.7401"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh cow","2004","12322.5166"
