Domain,Area,Element,Item,Year,Value
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1961","1684.0932"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1962","1759.1802"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1963","1826.7584"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1964","1892.1914"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1965","1956.5516"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1966","2018.981"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1967","2100.2895"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1968","2179.2381"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1969","2234.1588"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1970","2415.6547"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1971","2613.8843"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1972","2847.0829"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1973","3096.8024"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1974","3364.9701"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1975","3650.086"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1976","3964.8077"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1977","4306.7734"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1978","4678.3483"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1979","5081.6708"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1980","4393.876"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1981","4501.785"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1982","4891.3807"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1983","5065.5807"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1984","5246.004"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1985","5432.8632"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1986","5446.1661"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1987","5688.1606"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1988","5987.005"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1989","6244.8768"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1990","6513.6864"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1991","6794.0825"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1992","7086.4926"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1993","7391.7764"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1994","7710.1434"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1995","8042.2423"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1996","7427.6019"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1997","7684.8284"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1998","7986.0344"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","1999","8439.1305"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","2000","8751.2777"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","2001","9255.004"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","2002","9722.0448"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","2003","10075.1681"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","2004","10458.3261"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","2005","10837.1934"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","2006","10536.4165"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","2007","10821.747"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","2008","11115.0152"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","2009","11416.0066"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","2010","11308.7365"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","2011","11620.8964"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","2012","11941.6578"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","2013","12271.4131"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","2014","12609.9755"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","2015","12957.9306"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","2016","13320.4991"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, goat","2017","13687.0685"
