Domain,Area,Element,Item,Year,Value
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1961","1931.6532"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1962","2018.9208"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1963","2119.9159"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1964","2206.2029"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1965","2331.7114"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1966","2439.9624"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1967","2447.6105"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1968","2455.2587"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1969","2462.7108"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1970","2477.0266"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1971","2493.8918"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1972","2584.8854"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1973","2810.4084"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1974","3055.3459"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1975","3313.4226"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1976","3595.0337"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1977","3900.3707"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1978","4231.5968"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1979","4591.2569"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1980","4039.8042"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1981","4158.4489"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1982","4330.6293"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1983","4467.1212"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1984","4607.7283"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1985","4752.9667"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1986","4404.8279"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1987","4513.6657"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1988","4655.1878"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1989","4771.0854"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1990","4890.1223"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1991","5012.1008"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1992","5137.2186"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1993","5265.2749"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1994","5396.6665"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1995","5530.8036"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1996","4486.7304"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1997","4510.4593"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1998","4535.561"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","1999","4561.251"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","2000","4589.0982"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","2001","4618.122"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","2002","4648.9108"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","2003","4682.4451"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","2004","4715.7833"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","2005","4749.7098"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","2006","5059.5587"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","2007","5117.9986"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","2008","5178.5956"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","2009","5239.9771"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","2010","5292.0384"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","2011","5355.1544"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","2012","5418.8495"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","2013","5483.5076"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","2014","5548.7449"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","2015","5614.9455"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","2016","5684.0294"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Meat, sheep","2017","5741.5956"
