Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","1992","1992","gigagrams","13514.0811","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","1993","1993","gigagrams","12455.4109","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","1994","1994","gigagrams","10463.3376","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","1995","1995","gigagrams","8142.0542","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","1996","1996","gigagrams","6464.1839","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","1997","1997","gigagrams","5158.7537","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","1998","1998","gigagrams","4162.6775","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","1999","1999","gigagrams","3370.4374","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","2000","2000","gigagrams","3166.9734","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","2001","2001","gigagrams","3194.7156","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","2002","2002","gigagrams","3329.1345","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","2003","2003","gigagrams","3639.2039","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","2004","2004","gigagrams","3807.0038","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","2005","2005","gigagrams","3979.7495","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","2006","2006","gigagrams","4115.7951","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","2007","2007","gigagrams","4516.2639","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","2008","2008","gigagrams","4881.0106","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","2009","2009","gigagrams","5101.0634","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","2010","2010","gigagrams","5247.2077","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","2011","2011","gigagrams","5181.1999","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","2012","2012","gigagrams","5401.7593","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","2013","2013","gigagrams","5755.5424","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","2014","2014","gigagrams","5655.2708","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","2015","2015","gigagrams","5113.1743","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","2016","2016","gigagrams","5110.0596","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","977","Meat, sheep","2017","2017","gigagrams","5557.7991","Fc","Calculated data"
