Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","867","Meat, cattle","1961","1961","gigagrams","13075.9198","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","867","Meat, cattle","1962","1962","gigagrams","13192.7602","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","867","Meat, cattle","1963","1963","gigagrams","13238.1351","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","867","Meat, cattle","1964","1964","gigagrams","13328.885","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","867","Meat, cattle","1965","1965","gigagrams","13102.0103","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","867","Meat, cattle","1966","1966","gigagrams","10715.1213","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","867","Meat, cattle","1967","1967","gigagrams","10763.2436","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","867","Meat, cattle","1968","1968","gigagrams","10887.3214","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","867","Meat, cattle","1969","1969","gigagrams","11238.5902","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","867","Meat, cattle","1970","1970","gigagrams","11349.4038","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","867","Meat, cattle","1971","1971","gigagrams","11445.315","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","867","Meat, cattle","1972","1972","gigagrams","11746.5648","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","867","Meat, cattle","1973","1973","gigagrams","12328.3304","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","867","Meat, cattle","1974","1974","gigagrams","12706.3943","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","867","Meat, cattle","1975","1975","gigagrams","13355.8944","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","867","Meat, cattle","1976","1976","gigagrams","13455.0874","Fc","Calculated data"
