Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1961","1961","gigagrams","42.477","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1962","1962","gigagrams","45.7445","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1963","1963","gigagrams","45.7445","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1964","1964","gigagrams","45.7445","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1965","1965","gigagrams","65.3493","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1966","1966","gigagrams","65.3493","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1967","1967","gigagrams","71.8842","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1968","1968","gigagrams","78.4192","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1969","1969","gigagrams","84.9541","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1970","1970","gigagrams","71.8842","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1971","1971","gigagrams","71.8842","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1972","1972","gigagrams","71.8842","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1973","1973","gigagrams","78.4192","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1974","1974","gigagrams","91.489","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1975","1975","gigagrams","91.489","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1976","1976","gigagrams","91.489","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1977","1977","gigagrams","91.489","Fc","Calculated data"
