Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1961","1961","gigagrams","1099.047","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1962","1962","gigagrams","1109.9668","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1963","1963","gigagrams","1121.1007","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1964","1964","gigagrams","1132.2346","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1965","1965","gigagrams","1143.5827","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1966","1966","gigagrams","1177.6268","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1967","1967","gigagrams","1206.894","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1968","1968","gigagrams","1191.3155","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1969","1969","gigagrams","1220.7267","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1970","1970","gigagrams","1215.0967","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1971","1971","gigagrams","1148.5073","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1972","1972","gigagrams","1145.0815","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1973","1973","gigagrams","1124.5265","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1974","1974","gigagrams","1144.6533","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1975","1975","gigagrams","1128.5947","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1976","1976","gigagrams","1140.1569","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1977","1977","gigagrams","1124.0983","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1978","1978","gigagrams","1156.2154","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1979","1979","gigagrams","1209.7439","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1980","1980","gigagrams","1240.5763","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1981","1981","gigagrams","1239.0775","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1982","1982","gigagrams","1255.7784","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1983","1983","gigagrams","1254.9219","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1984","1984","gigagrams","1231.1553","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1985","1985","gigagrams","1237.5787","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1986","1986","gigagrams","1241.861","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1987","1987","gigagrams","1252.5667","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1988","1988","gigagrams","1263.2724","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1989","1989","gigagrams","1284.6838","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1990","1990","gigagrams","1306.0952","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1991","1991","gigagrams","1327.5066","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1992","1992","gigagrams","1374.2327","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1993","1993","gigagrams","1303.2796","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1994","1994","gigagrams","1370.779","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1995","1995","gigagrams","1382.4887","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1996","1996","gigagrams","1429.0186","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1997","1997","gigagrams","1422.5575","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1998","1998","gigagrams","1404.2525","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","1999","1999","gigagrams","1382.5476","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","2000","2000","gigagrams","1435.8705","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","2001","2001","gigagrams","1402.4465","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","2002","2002","gigagrams","1381.4633","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","2003","2003","gigagrams","1361.3366","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","2004","2004","gigagrams","1364.3342","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","2005","2005","gigagrams","1360.9084","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","2006","2006","gigagrams","1370.2992","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","2007","2007","gigagrams","1341.5053","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","2008","2008","gigagrams","1398.0203","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","2009","2009","gigagrams","1361.3019","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","2010","2010","gigagrams","1343.5322","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","2011","2011","gigagrams","1320.0235","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","2012","2012","gigagrams","1315.0488","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","2013","2013","gigagrams","1290.6717","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","2014","2014","gigagrams","1278.5177","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","2015","2015","gigagrams","1257.3483","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","2016","2016","gigagrams","1202.9935","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1017","Meat, goat","2017","2017","gigagrams","1172.2311","Fc","Calculated data"
