Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1961","1961","gigagrams","4078.8783","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1962","1962","gigagrams","4032.3845","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1963","1963","gigagrams","4061.3978","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1964","1964","gigagrams","3985.2147","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1965","1965","gigagrams","4075.3215","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1966","1966","gigagrams","3931.1268","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1967","1967","gigagrams","4080.2042","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1968","1968","gigagrams","4279.3602","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1969","1969","gigagrams","4461.3727","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1970","1970","gigagrams","4583.0309","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1971","1971","gigagrams","4420.8882","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1972","1972","gigagrams","4430.7133","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1973","1973","gigagrams","4730.8253","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1974","1974","gigagrams","4768.5518","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1975","1975","gigagrams","4852.0422","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1976","1976","gigagrams","4815.3752","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1977","1977","gigagrams","4748.9464","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1978","1978","gigagrams","5131.573","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1979","1979","gigagrams","5223.501","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1980","1980","gigagrams","5264.4697","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1981","1981","gigagrams","4987.1567","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1982","1982","gigagrams","5666.7072","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","867","Meat, cattle","1983","1983","gigagrams","5839.8928","Fc","Calculated data"
