Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1961","1961","gigagrams","6.9903","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1962","1962","gigagrams","8.8587","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1963","1963","gigagrams","6.8675","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1964","1964","gigagrams","9.1133","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1965","1965","gigagrams","10.3473","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1966","1966","gigagrams","9.0698","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1967","1967","gigagrams","18.5126","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1968","1968","gigagrams","27.3367","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1969","1969","gigagrams","30.54","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1970","1970","gigagrams","9.8584","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1971","1971","gigagrams","101.651","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1972","1972","gigagrams","127.9127","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1973","1973","gigagrams","209.7324","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1974","1974","gigagrams","202.953","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1975","1975","gigagrams","191.8307","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1976","1976","gigagrams","224.4419","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1977","1977","gigagrams","238.3458","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1978","1978","gigagrams","227.7222","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1979","1979","gigagrams","217.9465","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1980","1980","gigagrams","211.4819","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1981","1981","gigagrams","270.6616","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1982","1982","gigagrams","242.2093","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1983","1983","gigagrams","224.2463","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1984","1984","gigagrams","226.6442","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1985","1985","gigagrams","233.9951","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1986","1986","gigagrams","197.5588","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1987","1987","gigagrams","215.775","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1988","1988","gigagrams","233.247","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1989","1989","gigagrams","243.8782","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1990","1990","gigagrams","229.5408","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1991","1991","gigagrams","257.5059","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1992","1992","gigagrams","271.1297","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1993","1993","gigagrams","277.0764","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1994","1994","gigagrams","282.9656","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1995","1995","gigagrams","293.0866","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1996","1996","gigagrams","325.5597","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1997","1997","gigagrams","317.8443","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1998","1998","gigagrams","327.7466","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","1999","1999","gigagrams","323.1273","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","2000","2000","gigagrams","312.9027","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","2001","2001","gigagrams","310.3974","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","2002","2002","gigagrams","311.0765","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","2003","2003","gigagrams","305.2871","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","2004","2004","gigagrams","293.758","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","2005","2005","gigagrams","302.5477","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","2006","2006","gigagrams","321.9303","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","2007","2007","gigagrams","331.8863","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","2008","2008","gigagrams","337.6412","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","2009","2009","gigagrams","335.3469","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","2010","2010","gigagrams","333.3681","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","2011","2011","gigagrams","339.5634","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","2012","2012","gigagrams","362.0152","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","2013","2013","gigagrams","358.0789","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","2014","2014","gigagrams","351.0003","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","2015","2015","gigagrams","346.8276","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","2016","2016","gigagrams","344.7581","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1058","Meat, chicken","2017","2017","gigagrams","339.9087","Fc","Calculated data"
