Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1961","1961","gigagrams","1652.4473","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1962","1962","gigagrams","1664.227","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1963","1963","gigagrams","1676.1091","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1964","1964","gigagrams","1658.4742","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1965","1965","gigagrams","1100.1705","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1966","1966","gigagrams","1282.3451","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1967","1967","gigagrams","1495.7497","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1968","1968","gigagrams","1551.1535","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1969","1969","gigagrams","1681.7596","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1970","1970","gigagrams","1894.2323","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1971","1971","gigagrams","1894.8903","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1972","1972","gigagrams","1966.3887","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1973","1973","gigagrams","2320.7974","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1974","1974","gigagrams","2275.9117","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1975","1975","gigagrams","2155.4137","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1976","1976","gigagrams","2351.3188","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1977","1977","gigagrams","2467.7131","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1978","1978","gigagrams","2657.2843","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1979","1979","gigagrams","2676.1867","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1980","1980","gigagrams","2935.0664","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1981","1981","gigagrams","2929.0396","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1982","1982","gigagrams","3293.6628","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1983","1983","gigagrams","3209.2872","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1984","1984","gigagrams","3287.636","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1985","1985","gigagrams","3120.2545","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1986","1986","gigagrams","4322.8811","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1987","1987","gigagrams","3667.3263","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1988","1988","gigagrams","4740.1021","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1989","1989","gigagrams","4551.3527","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1990","1990","gigagrams","4632.715","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1035","Meat, pig","1991","1991","gigagrams","4383.4233","Fc","Calculated data"
