Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1961","1961","gigagrams","6384.8711","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1962","1962","gigagrams","6028.631","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1963","1963","gigagrams","5672.6888","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1964","1964","gigagrams","5607.5661","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1965","1965","gigagrams","5737.08","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1966","1966","gigagrams","5301.8671","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1967","1967","gigagrams","5282.4987","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1968","1968","gigagrams","5261.5046","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1969","1969","gigagrams","5351.8979","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1970","1970","gigagrams","5286.1385","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1971","1971","gigagrams","5205.3412","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1972","1972","gigagrams","5041.498","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1973","1973","gigagrams","4851.8422","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1974","1974","gigagrams","4602.2922","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1975","1975","gigagrams","4588.4554","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1976","1976","gigagrams","4443.9692","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1977","1977","gigagrams","4400.1103","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1978","1978","gigagrams","4347.3316","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1979","1979","gigagrams","4156.8201","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1980","1980","gigagrams","4105.7348","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1981","1981","gigagrams","4201.6961","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1982","1982","gigagrams","4834.7588","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1983","1983","gigagrams","4929.0267","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1984","1984","gigagrams","4954.4283","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1985","1985","gigagrams","4944.8321","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1986","1986","gigagrams","5050.3896","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1987","1987","gigagrams","4978.9831","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1988","1988","gigagrams","6489.8099","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1989","1989","gigagrams","6509.5667","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1990","1990","gigagrams","5519.4713","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1991","1991","gigagrams","5902.47","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1992","1992","gigagrams","6046.9765","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1993","1993","gigagrams","6024.0144","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1994","1994","gigagrams","5828.2411","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1995","1995","gigagrams","5596.8049","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1996","1996","gigagrams","5115.5869","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1997","1997","gigagrams","5905.0102","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1998","1998","gigagrams","6033.429","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","1999","1999","gigagrams","5934.0808","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","2000","2000","gigagrams","5816.9515","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","2001","2001","gigagrams","5924.2024","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","2002","2002","gigagrams","5780.0267","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","2003","2003","gigagrams","5991.7841","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","977","Meat, sheep","2004","2004","gigagrams","5825.6919","Fc","Calculated data"
