Domain,Area,Element,Item,Year,Value
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1961","135414.6597"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1962","140581.7081"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1963","148493.8014"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1964","155222.7243"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1965","158285.8962"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1966","159539.7825"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1967","160510.9267"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1968","162481.8004"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1969","164449.3079"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1970","168927.9542"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1971","172916.814"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1972","178677.9588"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1973","185349.6573"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1974","196175.1429"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1975","203464.5142"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1976","196831.5397"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1977","188276.5006"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1978","177684.9616"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1979","168525.6873"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1980","169052.4878"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1981","174118.5386"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1982","175767.9327"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1983","174941.5593"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1984","172627.3261"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1985","165952.2749"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1986","159226.7317"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1987","154490.5758"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1988","150462.992"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1989","145911.9737"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1990","144446.0208"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1991","145698.224"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1992","147887.8966"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1993","150794.3883"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1994","153966.4682"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1995","157062.6417"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1996","158505.0317"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1997","155521.7922"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1998","152474.2593"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","1999","151412.2429"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","2000","149793.1306"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","2001","148437.4186"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","2002","147409.9051"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","2003","146458.9711"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","2004","144538.5895"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","2005","144690.0657"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","2006","147377.0919"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","2007","147073.2913"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","2008","145956.5751"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","2009","143934.3678"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","2010","142990.5028"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","2011","140853.3419"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","2012","137882.3887"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","2013","136111.8003"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","2014","133415.1873"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","2015","134369.6557"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","2016","139034.2811"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, cattle","2017","141981.3347"
