Domain,Area,Element,Item,Year,Value
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1961","1686.5486"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1962","1789.7931"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1963","1787.4102"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1964","1822.0797"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1965","1976.4361"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1966","2032.1931"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1967","2108.345"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1968","2143.9538"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1969","2248.7734"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1970","2256.8054"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1971","2272.6298"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1972","2340.3919"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1973","2288.113"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1974","2317.2743"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1975","2259.8564"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1976","2419.7135"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1977","2520.9027"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1978","2670.6108"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1979","2863.3401"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1980","2840.7641"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1981","2933.3076"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1982","2916.251"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1983","2924.0685"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1984","3010.5689"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1985","3108.4465"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1986","3214.4088"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1987","3452.6218"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1988","3539.0554"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1989","3740.1411"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1990","3938.6172"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1991","4133.4779"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1992","4310.2687"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1993","4503.4924"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1994","4702.9559"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1995","4887.3859"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1996","5058.4342"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1997","5205.6739"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1998","5247.5785"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","1999","5425.9913"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","2000","5682.8014"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","2001","5804.3206"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","2002","5941.8015"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","2003","5870.2121"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","2004","6023.0865"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","2005","6106.1162"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","2006","6107.33"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","2007","6156.3357"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","2008","6217.8247"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","2009","5891.4929"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","2010","5992.9823"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","2011","5907.2614"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","2012","5882.5916"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","2013","5905.9771"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","2014","6006.7092"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","2015","6116.8781"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","2016","5960.2129"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, chicken","2017","5921.9937"
