Domain,Area,Element,Item,Year,Value
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1961","76499.4704"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1962","74720.3783"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1963","72138.3061"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1964","69551.7973"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1965","66344.1716"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1966","62426.6977"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1967","59516.3208"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1968","56929.8121"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1969","54600.6232"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1970","53238.6023"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1971","52524.3177"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1972","51907.6372"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1973","50634.3473"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1974","49822.4586"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1975","49418.7326"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1976","48944.0217"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1977","48558.0418"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1978","47928.0517"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1979","47621.9298"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1980","47910.3055"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1981","48349.524"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1982","48850.8542"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1983","49063.8086"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1984","47883.6862"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1985","48717.7576"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1986","47794.9552"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1987","45816.2538"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1988","45359.2892"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1989","44569.5832"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1990","44334.4461"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1991","43593.5422"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1992","42981.2983"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1993","42506.5874"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1994","42120.6075"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1995","41996.3841"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1996","41579.3484"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1997","41046.9624"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1998","40598.8708"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","1999","40607.7439"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","2000","40811.8252"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","2001","40385.9164"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","2002","40545.6322"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","2003","40288.3123"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","2004","39973.3172"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","2005","40150.7792"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","2006","40536.7591"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","2007","40767.4597"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","2008","41322.0285"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","2009","40825.1349"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","2010","40474.6474"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","2011","40811.8252"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","2012","40980.4141"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","2013","40922.739"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","2014","41069.1451"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","2015","41290.529"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","2016","41306.0569"
"Emissions intensities","United States of America","Emissions (CO2eq)","Milk, whole fresh cow","2017","41463.9981"
