Domain,Area,Element,Item,Year,Value
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","1991","261.0839"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","1992","286.6546"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","1993","279.7328"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","1994","278.9685"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","1995","260.6254"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","1996","265.2112"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","1997","223.0849"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","1998","181.9027"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","1999","308.7761"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","2000","313.3619"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","2001","325.5906"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","2002","342.3558"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","2003","345.4624"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","2006","389.333"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","2007","418.3763"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","2008","427.2422"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","2009","417.9177"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","2010","409.9691"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","2011","402.9375"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","2012","358.1497"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","2013","347.2967"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","2014","360.2773"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","2015","365.7603"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","2016","361.5265"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, goat","2017","364.3336"
