Domain,Area,Element,Item,Year,Value
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1961","7405.179"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1962","7007.8225"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1963","6602.0917"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1964","6135.9445"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1965","5685.8654"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1966","5596.9336"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1967","5420.2068"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1968","5028.7337"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1969","4831.1851"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1970","4621.4207"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1971","4464.8315"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1972","4240.3567"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1973","3991.8958"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1974","3690.7086"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1975","3284.527"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1976","3012.0799"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1977","2878.8206"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1978","2810.6862"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1979","2798.0821"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1980","2873.5934"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1981","2929.7121"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1982","2941.0264"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1983","2747.1001"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1984","2615.6285"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1985","2424.8702"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1986","2295.6615"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1987","2350.875"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1988","2476.6895"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1989","2455.8713"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1990","2570.1452"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1991","2528.5088"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1992","2443.1993"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1993","2308.3335"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1994","2225.7394"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1995","2034.076"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1996","1915.5027"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1997","1815.711"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1998","1770.6803"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","1999","1632.6464"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","2000","1591.2362"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","2001","1576.0751"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","2002","1498.6857"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","2003","1430.3476"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","2004","1381.47"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","2005","1388.2586"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","2006","1409.7557"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","2007","1384.8643"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","2008","1346.3959"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","2009","1300.46"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","2010","1271.7218"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","2011","1240.0419"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","2012","1216.282"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","2013","1212.8877"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","2014","1186.8649"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","2015","1194.7849"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","2016","1199.3106"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, sheep","2017","1187.9963"
