Domain,Area,Element,Item,Year,Value
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1961","34.1282"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1962","39.9196"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1963","23.5795"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1964","40.9538"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1965","34.6866"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1966","43.4359"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1967","28.9573"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1968","37.2308"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1969","37.2308"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1970","35.1624"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1971","34.335"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1972","37.2308"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1973","40.1265"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1974","55.8461"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1975","52.1231"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1976","52.9504"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1977","56.8803"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1978","50.9648"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1979","56.8803"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1980","153.4734"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1981","177.8803"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1982","162.988"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1983","176.2256"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1984","176.2256"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1985","186.1538"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1986","200.2187"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1987","227.5213"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1988","184.0854"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1989","172.5025"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1990","177.8803"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1991","175.3982"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1992","219.2478"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1993","244.0683"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1994","270.9571"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1995","289.5725"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1996","256.7671"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1997","263.1667"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1998","299.106"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","1999","357.6221"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","2000","364.034"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","2001","325.0942"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","2002","246.2743"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","2003","268.9327"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","2004","275.3367"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","2005","283.3674"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","2006","260.6153"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","2007","278.2116"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","2008","278.0795"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","2009","277.9472"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","2010","248.205"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","2011","244.0683"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","2012","263.511"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","2013","268.8888"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","2014","273.0255"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","2015","299.9144"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","2016","281.299"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, chicken","2017","298.2597"
