Domain,Area,Element,Item,Year,Value
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1961","4793.5167"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1962","4741.1858"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1963","5002.8406"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1964","5128.4349"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1965","4814.4491"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1966","5233.0969"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1967","4835.3815"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1968","5149.3673"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1969","5055.1716"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1970","4605.1252"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1971","5295.894"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1972","5756.4065"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1973","5756.4065"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1974","5861.0685"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1975","6279.7162"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1976","6384.3782"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1977","5756.4065"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1978","5473.8193"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1979","6094.2553"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1980","6541.5804"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1981","6489.0401"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1982","6384.3782"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1983","6279.7162"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1984","6216.9191"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1985","6175.0543"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1986","6154.1219"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1987","6049.46"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1988","5923.8656"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1989","5442.4207"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1990","5023.773"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1991","4814.4491"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1992","4395.8014"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1993","4605.1252"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1994","4814.4491"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1995","4919.111"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1996","4814.4491"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1997","5023.773"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1998","5233.0969"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","1999","5233.0969"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","2000","5128.4349"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","2001","5128.4349"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","2002","4500.4633"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","2003","4186.4775"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","2004","4186.4775"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","2005","4395.8014"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","2006","4814.4491"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","2007","4605.1252"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","2008","4500.4633"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","2009","4395.8014"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","2010","4395.8014"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","2011","4500.4633"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","2012","4590.4726"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","2013","4590.4726"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","2014","4081.8155"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","2015","7217.5249"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","2016","7325.5423"
"Emissions intensities","Argentina","Emissions (CO2eq)","Milk, whole fresh cow","2017","7043.1727"
