Domain,Area,Element,Item,Year,Value
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1961","198.8914"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1962","169.5811"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1963","145.3552"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1964","145.3552"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1965","159.2029"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1966","140.5698"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1967","137.579"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1968","137.579"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1969","137.579"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1970","143.5607"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1971","143.5607"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1972","143.5607"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1973","131.5973"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1974","134.5881"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1975","132.1955"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1976","117.2412"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1977","104.9787"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1978","117.7198"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1979","129.5037"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1980","148.9442"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1981","137.579"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1982","147.1497"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1983","151.9351"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1984","151.9351"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1985","131.5973"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1986","141.168"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1987","143.5607"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1988","116.6431"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1989","151.3369"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1990","143.5607"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1991","147.1497"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1992","125.6156"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1993","113.6522"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1994","122.6247"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1995","119.6339"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1996","161.0886"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1997","163.7981"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1998","177.6289"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","1999","122.9238"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","2000","125.6156"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","2001","187.9039"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","2002","158.3159"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","2003","167.4239"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","2004","170.1273"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","2005","158.5149"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","2006","191.4142"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","2007","171.9519"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","2008","172.1429"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","2009","172.3342"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","2010","227.3044"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","2011","245.2495"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","2012","247.044"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","2013","251.2312"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","2014","257.2129"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","2015","254.222"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","2016","257.8111"
"Emissions intensities","Argentina","Emissions (CO2eq)","Eggs, hen, in shell","2017","264.3909"
