Domain,Area,Element,Item,Year,Value
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1961","849.2795"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1962","689.5443"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1963","766.2037"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1964","762.4902"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1965","829.7687"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1966","897.0473"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1967","897.0473"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1968","762.4902"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1969","918.9283"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1970","986.752"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1971","1098.8829"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1972","1009.1782"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1973","1121.3091"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1974","925.4702"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1975","941.8997"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1976","925.5285"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1977","796.5134"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1978","760.9204"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1979","796.578"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1980","852.1949"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1981","874.6211"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1982","874.6211"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1983","852.1949"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1984","852.1949"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1985","852.1949"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1986","897.0473"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1987","829.7687"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1988","749.405"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1989","627.9331"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1990","538.2284"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1991","538.2284"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1992","583.0807"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1993","639.1462"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1994","740.064"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1995","695.2116"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1996","695.2116"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1997","717.6378"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1998","784.9164"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","1999","386.8516"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","2000","392.4582"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","2001","381.2451"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","2002","358.8189"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","2003","336.3927"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","2004","334.1501"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","2005","410.3991"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","2006","506.8317"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","2007","509.0743"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","2008","509.0743"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","2009","509.0743"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","2010","712.9371"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","2011","770.7886"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","2012","856.4016"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","2013","946.8231"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","2014","1052.2596"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","2015","1123.876"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","2016","1148.0945"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, pig","2017","1211.0138"
