Domain,Area,Element,Item,Year,Value
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1961","28804.248"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1962","30090.7847"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1963","31071.9083"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1964","32476.2618"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1965","32124.7791"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1966","30547.774"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1967","31281.1002"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1968","33385.492"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1969","36408.1719"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1970","39616.7405"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1971","44256.7872"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1972","50428.5012"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1973","54006.8632"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1974","57867.2051"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1975","61871.5127"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1976","63195.8093"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1977","59679.5673"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1978","55440.3091"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1979","51205.718"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1980","49463.7531"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1981","47462.0872"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1982","46229.8812"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1983","42049.6533"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1984","41370.674"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1985","42542.4349"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1986","44041.2044"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1987","41058.366"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1988","41009.8733"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1989","42221.3252"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1990","43723.2637"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1991","44770.6502"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1992","45183.4013"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1993","45461.527"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1994","48726.8005"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1995","48603.0807"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1996","49788.1254"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1997","50417.7033"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1998","50395.3433"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","1999","49645.2674"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","2000","51665.7971"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","2001","51925.986"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","2002","52336.5967"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","2003","50033.5608"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","2004","51685.8377"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","2005","52525.6402"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","2006","53894.4779"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","2007","53339.9502"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","2008","52201.7314"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","2009","53319.5234"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","2010","51184.041"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","2011","54715.7663"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","2012","54310.4427"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","2013","56108.2365"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","2014","55811.1657"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","2015","52288.8662"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","2016","47585.5428"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","2017","50117.1546"
