Domain,Area,Element,Item,Year,Value
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1961","79.5275"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1962","80.6718"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1963","77.8111"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1964","78.6693"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1965","84.6767"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1966","85.5349"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1967","88.9678"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1968","95.1126"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1969","97.7502"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1970","109.3646"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1971","107.5796"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1972","95.0611"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1973","89.1394"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1974","97.5103"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1975","93.8825"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1976","90.9989"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1977","91.4394"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1978","90.2437"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1979","92.6235"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1980","84.9391"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1981","86.8921"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1982","85.4205"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1983","88.8648"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1984","80.5287"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1985","77.2217"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1986","78.0742"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1987","77.2732"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1988","77.0272"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1989","75.4824"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1990","74.8588"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1991","70.1272"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1992","61.4192"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1993","71.8894"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1994","75.3108"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1995","63.7822"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1996","76.7411"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1997","80.4372"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1998","80.3056"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","1999","79.5961"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","2000","68.7484"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","2001","81.6787"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","2002","73.5658"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","2003","73.8804"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","2004","72.4844"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","2005","75.3795"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","2006","91.1762"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","2007","87.3715"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","2008","84.4479"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","2009","72.1125"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","2010","67.1349"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","2011","75.0133"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","2012","76.5466"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","2013","83.6354"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","2014","87.7205"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","2015","100.1245"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","2016","89.4141"
"Emissions intensities","Australia","Emissions (CO2eq)","Eggs, hen, in shell","2017","91.7083"
