Domain,Area,Element,Item,Year,Value
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1961","9.9088"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1962","9.9088"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1963","9.9088"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1964","9.9088"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1965","9.9088"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1966","9.9088"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1967","9.9088"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1968","11.3951"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1969","12.5099"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1970","12.386"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1971","18.579"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1972","17.3404"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1973","17.3404"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1974","16.1018"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1975","17.3404"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1976","17.3404"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1977","19.8176"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1978","17.3404"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1979","16.1018"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1980","16.1018"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1981","17.3404"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1982","18.579"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1983","45.8282"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1984","19.8176"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1985","24.772"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1986","221.4619"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1987","229.1412"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1988","334.4223"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1989","324.5135"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1990","403.7839"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1991","438.4648"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1992","532.5985"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1993","478.1"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1994","470.6684"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1995","411.2155"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1996","448.3736"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1997","454.5666"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1998","427.3174"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","1999","390.1593"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","2000","471.907"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","2001","530.1212"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","2002","681.2306"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","2003","626.7321"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","2004","703.5254"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","2005","842.2487"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","2006","817.4767"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","2007","619.3005"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","2008","668.8446"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","2009","842.2487"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","2010","867.0207"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","2011","867.0207"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","2012","879.4067"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","2013","879.4067"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","2014","884.3612"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","2015","891.7928"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","2016","904.1788"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, goat","2017","891.7928"
