Domain,Area,Element,Item,Year,Value
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1961","656.7149"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1962","671.7657"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1963","585.4404"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1964","596.6289"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1965","674.8918"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1966","710.075"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1967","733.2688"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1968","835.7496"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1969","915.9898"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1970","975.0749"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1971","1052.9863"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1972","1300.4514"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1973","1324.9739"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1974","1018.5989"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1975","893.2979"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1976","883.3546"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1977","906.2864"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1978","901.3508"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1979","935.6048"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1980","1023.546"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1981","987.7485"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1982","964.6116"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1983","1012.4768"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1984","1027.1699"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1985","1021.1003"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1986","1038.1443"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1987","1061.4797"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1988","1100.2158"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1989","1085.8348"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1990","1076.3926"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1991","1029.1897"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1992","1135.2682"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1993","1075.7772"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1994","1128.3135"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1995","1078.5223"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1996","1027.134"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1997","1038.7568"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1998","1125.3537"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","1999","1067.6224"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","2000","1020.8682"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","2001","1117.2225"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","2002","1195.2818"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","2003","1080.6323"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","2004","1035.8248"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","2005","1031.8453"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","2006","1111.1242"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","2007","1058.955"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","2008","980.3968"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","2009","935.7811"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","2010","930.7309"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","2011","929.0728"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","2012","869.1898"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","2013","853.0195"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","2014","938.3368"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","2015","923.7673"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","2016","932.7452"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, pig","2017","1010.5819"
