Domain,Area,Element,Item,Year,Value
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1961","47749.0439"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1962","49323.3134"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1963","49609.1449"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1964","51596.4894"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1965","53360.5509"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1966","49276.6623"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1967","51363.8141"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1968","52200.4372"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1969","54605.5503"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1970","56318.4973"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1971","55603.0881"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1972","50948.9627"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1973","43792.8542"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1974","45402.4561"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1975","47428.3705"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1976","46486.9512"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1977","42332.7932"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1978","41108.5298"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1979","41976.8575"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1980","42528.2446"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1981","42034.8274"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1982","43151.0521"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1983","41668.8289"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1984","43546.7286"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1985","46832.0836"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1986","45903.0589"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1987","46647.7408"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1988","47675.4169"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1989","50540.2061"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1990","53258.9372"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1991","51051.287"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1992","46349.3096"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1993","43190.3525"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1994","41459.9295"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1995","37798.6558"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1996","37878.1124"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1997","37600.3772"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1998","36744.4016"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","1999","36107.9711"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","2000","37076.2212"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","2001","34683.1174"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","2002","33202.5955"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","2003","31040.413"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","2004","31676.8636"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","2005","31626.0267"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","2006","28468.4306"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","2007","26805.51"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","2008","24061.7645"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","2009","22748.7774"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","2010","21293.2123"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","2011","22861.0719"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","2012","23368.5875"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","2013","23627.0052"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","2014","22708.8415"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","2015","22176.4953"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","2016","21123.5797"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, sheep","2017","22556.6404"
