Domain,Area,Element,Item,Year,Value
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1961","352.1193"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1962","362.3789"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1963","378.1373"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1964","393.6594"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1965","414.8681"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1966","434.7337"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1967","465.4538"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1968","489.5621"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1969","515.5023"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1970","530.634"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1971","566.6597"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1972","706.1193"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1973","779.9688"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1974","770.3717"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1975","843.4444"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1976","910.756"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1977","902.0193"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1978","885.5783"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1979","982.3621"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1980","1348.6085"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1981","1386.1164"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1982","1438.4527"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1983","1386.4924"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1984","1323.1756"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1985","1303.3458"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1986","1352.2393"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1987","1367.9494"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1988","1385.2849"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1989","1467.8883"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1990","1503.3656"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1991","1650.9905"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1992","1837.1845"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1993","1889.2535"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1994","1976.6661"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1995","2262.636"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1996","2294.2067"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1997","2342.4024"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1998","2361.6222"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","1999","2484.2656"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","2000","2601.9493"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","2001","2748.8012"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","2002","2733.1622"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","2003","2875.9654"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","2004","2963.6036"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","2005","3171.4408"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","2006","3144.5957"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","2007","3625.2666"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","2008","3922.1125"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","2009","3986.386"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","2010","3985.659"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","2011","4087.1731"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","2012","3949.5425"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","2013","3913.4803"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","2014","4181.3502"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","2015","4226.9943"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","2016","4285.806"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, chicken","2017","4540.4724"
