Domain,Area,Element,Item,Year,Value
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1961","15482.0124"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1962","15945.4554"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1963","16552.4947"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1964","16715.558"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1965","17618.1625"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1966","18944.8572"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1967","18832.6596"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1968","18817.379"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1969","19412.4868"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1970","19917.1666"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1971","20681.1988"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1972","20974.2522"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1973","20409.0777"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1974","22687.6518"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1975","25733.5654"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1976","26902.3336"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1977","29594.5882"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1978","29619.8159"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1979","31187.3482"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1980","34565.5865"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1981","34521.0068"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1982","34301.2544"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1983","34070.3094"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1984","35046.9079"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1985","35585.0586"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1986","36841.0019"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1987","37205.5268"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1988","37790.5619"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1989","39087.0303"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1990","39924.1583"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1991","41789.6276"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1992","42861.1565"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1993","41913.1287"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1994","42007.7431"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1995","43077.2038"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1996","34064.6702"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1997","35686.0197"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1998","36172.434"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","1999","36413.2653"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","2000","37437.6168"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","2001","38084.2852"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","2002","39782.4209"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","2003","40306.6558"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","2004","41912.3416"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","2005","43174.9832"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","2006","43838.3054"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","2007","44214.0544"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","2008","45183.1444"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","2009","46962.4161"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","2010","47987.3181"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","2011","48624.2467"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","2012","47733.2094"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","2013","48049.3262"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","2014","48202.9992"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","2015","44190.1873"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","2016","41168.2622"
"Emissions intensities","Brazil","Emissions (CO2eq)","Milk, whole fresh cow","2017","35710.8979"
