Domain,Area,Element,Item,Year,Value
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1961","2676.1799"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1962","2771.7578"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1963","2867.3356"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1964","2982.0291"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1965","3077.6069"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1966","3100.3544"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1967","3080.6654"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1968","3205.1078"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1969","3419.2037"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1970","3397.4119"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1971","3372.5678"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1972","3345.2249"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1973","3345.2249"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1974","3326.1093"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1975","3407.9668"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1976","3441.2156"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1977","3442.4452"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1978","3329.6082"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1979","3403.7705"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1980","3513.6346"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1981","3642.2809"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1982","3553.2023"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1983","3464.0045"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1984","3526.2968"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1985","3566.7667"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1986","3758.0723"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1987","3796.279"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1988","3839.3395"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1989","3831.0387"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1990","3825.8882"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1991","3847.5716"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1992","3814.6792"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1993","3442.3861"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1994","3524.1654"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1995","3505.1137"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1996","2814.864"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1997","2778.2028"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1998","2727.4836"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","1999","2752.6346"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","2000","2826.2291"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","2001","2798.3141"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","2002","2729.1417"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","2003","2782.555"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","2004","2878.3917"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","2005","2979.743"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","2006","3062.1558"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","2007","3104.2645"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","2008","3178.9974"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","2009","3213.6562"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","2010","3322.3973"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","2011","3377.3511"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","2012","3209.4072"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","2013","3305.1814"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","2014","3367.1034"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","2015","3519.2819"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","2016","3518.0195"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, sheep","2017","3436.2852"
