Domain,Area,Element,Item,Year,Value
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1961","161.6978"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1962","143.5165"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1963","156.9873"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1964","167.9339"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1965","165.6399"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1966","186.2043"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1967","195.3024"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1968","192.4034"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1969","221.3457"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1970","247.8975"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1971","220.5996"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1972","240.2546"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1973","240.2768"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1974","231.6502"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1975","212.719"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1976","235.6406"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1977","245.2101"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1978","253.202"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1979","277.6231"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1980","253.8367"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1981","264.015"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1982","253.7736"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1983","257.2443"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1984","257.0996"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1985","269.6052"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1986","281.0122"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1987","315.7898"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1988","312.8981"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1989","316.2538"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1990","333.6073"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1991","337.7944"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1992","321.0162"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1993","347.3453"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1994","409.729"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1995","424.3059"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1996","446.756"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1997","431.5889"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1998","438.7085"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","1999","487.9479"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","2000","495.2197"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","2001","492.729"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","2002","498.3415"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","2003","498.4454"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","2004","502.5175"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","2005","498.7572"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","2006","497.8441"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","2007","516.378"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","2008","516.0885"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","2009","514.8673"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","2010","514.058"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","2011","511.4819"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","2012","515.7581"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","2013","516.5822"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","2014","518.4605"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","2015","515.0417"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","2016","518.2241"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, chicken","2017","515.1177"
