Domain,Area,Element,Item,Year,Value
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1961","1574.706"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1962","1611.5467"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1963","1572.1869"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1964","1697.8233"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1965","1762.0585"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1966","1602.1004"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1967","1835.1103"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1968","1933.3523"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1969","1822.83"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1970","2065.2862"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1971","2430.8598"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1972","2334.1922"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1973","2269.3273"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1974","2195.3309"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1975","1898.7157"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1976","1792.2868"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1977","1951.3003"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1978","2140.857"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1979","2633.3265"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1980","3177.4361"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1981","3208.609"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1982","3139.3358"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1983","3114.1456"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1984","3257.73"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1985","3329.0814"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1986","3138.3912"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1987","3148.0894"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1988","3400.9681"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1989","3448.2314"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1990","3272.3404"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1991","3202.9412"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1992","3336.5441"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1993","3382.9571"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1994","3316.8642"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1995","3555.1325"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1996","3648.8088"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1997","3614.6445"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1998","3773.9099"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","1999","3913.7473"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","2000","4063.3145"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","2001","4274.6292"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","2002","4526.3744"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","2003","4642.8793"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","2004","4636.5817"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","2005","4663.3464"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","2006","4757.8099"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","2007","4433.4853"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","2008","3998.9534"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","2009","3924.957"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","2010","3972.1887"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","2011","4020.9948"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","2012","4013.1229"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","2013","4041.4619"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","2014","4150.0949"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","2015","4291.7901"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","2016","4387.828"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, pig","2017","4487.0146"
