Domain,Area,Element,Item,Year,Value
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1961","171.2978"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1962","162.0201"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1963","147.1758"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1964","137.6944"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1965","124.2305"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1966","110.0424"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1967","104.9284"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1968","95.266"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1969","87.2555"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1970","119.4785"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1971","123.5516"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1972","133.4176"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1973","127.851"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1974","119.7953"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1975","112.4863"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1976","103.7064"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1977","88.3417"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1978","87.7986"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1979","96.3295"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1980","109.7709"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1981","119.9084"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1982","129.3445"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1983","127.9642"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1984","124.5246"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1985","116.1974"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1986","110.7665"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1987","109.7256"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1988","117.7814"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1989","126.8101"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1990","134.6396"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1991","142.1749"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1992","146.6101"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1993","143.1253"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1994","144.664"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1995","139.6857"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1996","145.5013"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1997","142.0617"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1998","149.8007"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","1999","162.2464"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","2000","179.444"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","2001","214.4729"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","2002","224.8368"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","2003","220.6958"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","2004","224.9726"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","2005","221.2162"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","2006","202.2535"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","2007","200.5338"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","2008","192.2291"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","2009","190.894"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","2010","193.5416"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","2011","199.1082"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","2012","199.8549"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","2013","202.0499"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","2014","194.7635"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","2015","186.5267"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","2016","184.4449"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, sheep","2017","184.1734"
