Domain,Area,Element,Item,Year,Value
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1961","4567.3777"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1962","4619.6759"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1963","4671.9741"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1964","4706.8396"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1965","4794.0033"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1966","4846.3015"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1967","4881.167"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1968","4916.0324"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1969","4950.8979"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1970","5003.1961"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1971","5055.4944"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1972","5090.3598"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1973","5142.6581"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1974","5177.5235"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1975","5229.8218"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1976","5299.5527"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1977","5351.8509"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1978","5404.1491"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1979","5839.9676"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1980","6057.8769"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1981","6145.0406"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1982","6319.3679"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1983","6275.7861"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1984","6450.1135"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1985","6450.1135"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1986","6798.7683"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1987","7147.4231"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1988","7321.7505"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1989","7496.0778"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1990","7583.2415"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1991","7670.4052"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1992","7844.7326"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1993","8019.06"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1994","8106.2237"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1995","8193.3874"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1996","8280.5511"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1997","8542.0422"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1998","8716.3696"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","1999","8890.697"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","2000","9065.0244"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","2001","9178.3372"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","2002","9248.0681"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","2003","9413.6792"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","2004","9087.6869"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","2005","9354.4078"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","2006","9410.1926"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","2007","9504.3294"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","2008","9518.2756"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","2009","9553.1411"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","2010","9588.0065"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","2011","9588.0065"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","2012","9588.0065"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","2013","9500.8428"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","2014","9588.0065"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","2015","9283.1672"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","2016","9333.3578"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh buffalo","2017","9221.4379"
