Domain,Area,Element,Item,Year,Value
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1961","1047.6157"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1962","1089.5204"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1963","1110.4727"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1964","1131.425"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1965","1152.3773"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1966","1152.3773"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1967","1110.4727"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1968","1047.6157"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1969","1005.7111"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1970","1047.6157"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1971","1120.9489"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1972","1173.3296"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1973","1215.2343"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1974","1299.0435"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1975","1361.9005"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1976","1424.7574"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1977","1466.662"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1978","1435.2336"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1979","995.235"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Milk, whole fresh cow","1980","1343.0434"
