Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,ValueK,Flag,Flag Description
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1961,1961,gigagrams,2136.7175,2.14,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1962,1962,gigagrams,2289.216,2.29,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1963,1963,gigagrams,2255.2888,2.26,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1964,1964,gigagrams,2227.1238,2.23,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1965,1965,gigagrams,2245.9253,2.25,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1966,1966,gigagrams,2294.5559,2.29,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1967,1967,gigagrams,2443.8505,2.44,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1968,1968,gigagrams,2655.8085,2.66,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1969,1969,gigagrams,2384.838,2.38,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1970,1970,gigagrams,2598.5594,2.6,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1971,1971,gigagrams,2851.8957,2.85,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1972,1972,gigagrams,2827.9033,2.83,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1973,1973,gigagrams,2828.0523,2.83,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1974,1974,gigagrams,2871.1443,2.87,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1975,1975,gigagrams,2988.126,2.99,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1976,1976,gigagrams,2844.0721,2.84,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1977,1977,gigagrams,2858.4775,2.86,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1978,1978,gigagrams,2868.1639,2.87,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1979,1979,gigagrams,2816.4038,2.82,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1980,1980,gigagrams,2842.9219,2.84,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1035,"Meat, pig",1981,1981,gigagrams,2888.3233,2.89,Fc,Calculated data
