Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,ValueK,Flag,Flag Description
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1961,1961,gigagrams,2332.1431,2.33,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1962,1962,gigagrams,2316.62,2.32,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1963,1963,gigagrams,2279.7313,2.28,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1964,1964,gigagrams,2184.1651,2.18,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1965,1965,gigagrams,2239.3711,2.24,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1966,1966,gigagrams,2327.712,2.33,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1967,1967,gigagrams,2390.3973,2.39,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1968,1968,gigagrams,2466.8277,2.47,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1969,1969,gigagrams,2550.3141,2.55,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1970,1970,gigagrams,2619.8861,2.62,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1971,1971,gigagrams,2680.2006,2.68,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1972,1972,gigagrams,2638.1187,2.64,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1973,1973,gigagrams,2739.3298,2.74,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1974,1974,gigagrams,2712.3477,2.71,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1975,1975,gigagrams,2763.9862,2.76,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1976,1976,gigagrams,2828.1138,2.83,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1977,1977,gigagrams,2889.927,2.89,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1978,1978,gigagrams,2993.2604,2.99,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1979,1979,gigagrams,3057.0747,3.06,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1980,1980,gigagrams,3104.9267,3.1,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1981,1981,gigagrams,3363.6868,3.36,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1982,1982,gigagrams,3549.1589,3.55,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1983,1983,gigagrams,3380.0976,3.38,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1984,1984,gigagrams,3404.7472,3.4,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1985,1985,gigagrams,3298.4723,3.3,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1986,1986,gigagrams,3221.8906,3.22,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1987,1987,gigagrams,3109.7251,3.11,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1988,1988,gigagrams,2948.2715,2.95,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1989,1989,gigagrams,2852.3101,2.85,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1990,1990,gigagrams,2829.2794,2.83,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1991,1991,gigagrams,2770.9338,2.77,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1992,1992,gigagrams,2691.1363,2.69,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1993,1993,gigagrams,2608.4661,2.61,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1994,1994,gigagrams,2569.6207,2.57,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1995,1995,gigagrams,2532.2189,2.53,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1996,1996,gigagrams,2494.7756,2.49,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1997,1997,gigagrams,2438.1649,2.44,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1998,1998,gigagrams,2402.3818,2.4,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",1999,1999,gigagrams,2358.9051,2.36,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",2000,2000,gigagrams,2317.3033,2.32,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",2001,2001,gigagrams,2284.2356,2.28,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",2002,2002,gigagrams,2254.1367,2.25,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",2003,2003,gigagrams,2237.8806,2.24,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",2004,2004,gigagrams,2209.2954,2.21,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",2005,2005,gigagrams,2185.6945,2.19,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",2006,2006,gigagrams,2136.0718,2.14,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",2007,2007,gigagrams,2021.118,2.02,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",2008,2008,gigagrams,1930.5463,1.93,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",2009,2009,gigagrams,1897.4091,1.9,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",2010,2010,gigagrams,1873.6068,1.87,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",2011,2011,gigagrams,1795.3579,1.8,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",2012,2012,gigagrams,1741.6989,1.74,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",2013,2013,gigagrams,1693.6118,1.69,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",2014,2014,gigagrams,1679.506,1.68,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",2015,2015,gigagrams,1646.2306,1.65,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",2016,2016,gigagrams,1630.4215,1.63,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),977,"Meat, sheep",2017,2017,gigagrams,1611.6385,1.61,Fc,Calculated data
