Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1058","Meat, chicken","1961","1961","gigagrams","49.581","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1058","Meat, chicken","1962","1962","gigagrams","83.3929","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1058","Meat, chicken","1963","1963","gigagrams","81.9923","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1058","Meat, chicken","1964","1964","gigagrams","109.9044","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1058","Meat, chicken","1965","1965","gigagrams","110.1681","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1058","Meat, chicken","1966","1966","gigagrams","109.6336","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1058","Meat, chicken","1967","1967","gigagrams","127.8835","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1058","Meat, chicken","1968","1968","gigagrams","128.7479","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1058","Meat, chicken","1969","1969","gigagrams","124.0222","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1058","Meat, chicken","1970","1970","gigagrams","161.9538","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1058","Meat, chicken","1971","1971","gigagrams","178.6524","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1058","Meat, chicken","1972","1972","gigagrams","186.711","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1058","Meat, chicken","1973","1973","gigagrams","208.3198","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1058","Meat, chicken","1974","1974","gigagrams","182.349","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1058","Meat, chicken","1975","1975","gigagrams","183.4283","Fc","Calculated data"
