Domain,Item,Year,Value,ValueK
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1961,788752.1458,788.75
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1962,802496.8965,802.5
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1963,814046.0913,814.05
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1964,838149.7846,838.15
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1965,865684.6383,865.68
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1966,872596.0709,872.6
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1967,895724.2517,895.72
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1968,911540.3876,911.54
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1969,917726.5229,917.73
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1970,937959.8118,937.96
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1971,952159.1238,952.16
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1972,981937.5946,981.94
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1973,1013525.324,1013.53
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1974,1048361.932,1048.36
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1975,1069927.759,1069.93
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1976,1083002.26,1083
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1977,1079161.109,1079.16
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1978,1052967.25,1052.97
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1979,1039950.542,1039.95
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1980,1055945.964,1055.95
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1981,1065038.366,1065.04
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1982,1073955.775,1073.96
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1983,1079511.34,1079.51
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1984,1093796.687,1093.8
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1985,1095745.935,1095.75
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1986,1101263.974,1101.26
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1987,1097540.89,1097.54
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1988,1107941.279,1107.94
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1989,1123440.427,1123.44
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1990,1135416.427,1135.42
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1991,1152226.585,1152.23
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1992,1158857.472,1158.86
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1993,1168094.556,1168.09
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1994,1190644.643,1190.64
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1995,1215473.688,1215.47
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1996,1232373.441,1232.37
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1997,1199376.176,1199.38
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1998,1205984.116,1205.98
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",1999,1208405.458,1208.41
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2000,1222927.792,1222.93
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2001,1222478.994,1222.48
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2002,1234069.509,1234.07
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2003,1244969.196,1244.97
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2004,1261724.256,1261.72
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2005,1262898.65,1262.9
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2006,1266195.66,1266.2
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2007,1246145.266,1246.15
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2008,1246507.22,1246.51
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2009,1219886.146,1219.89
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2010,1208412.17,1208.41
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2011,1208729.942,1208.73
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2012,1202151.252,1202.15
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2013,1196630.423,1196.63
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2014,1199234.44,1199.23
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2015,1206777.831,1206.78
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2016,1222343.829,1222.34
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2017,1232317.187,1232.32
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2018,1235454.687,1235.45
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2019,1241308.37,1241.31
Emissions intensities,"Meat of cattle with the bone, fresh or chilled",2020,1238524.12,1238.52
