Domain,Item,Year,Value,ValueK
Emissions intensities,"Meat of chickens, fresh or chilled",1961,4213.9587,4.21
Emissions intensities,"Meat of chickens, fresh or chilled",1962,4352.6976,4.35
Emissions intensities,"Meat of chickens, fresh or chilled",1963,4570.8691,4.57
Emissions intensities,"Meat of chickens, fresh or chilled",1964,4769.3548,4.77
Emissions intensities,"Meat of chickens, fresh or chilled",1965,4962.9756,4.96
Emissions intensities,"Meat of chickens, fresh or chilled",1966,4976.8778,4.98
Emissions intensities,"Meat of chickens, fresh or chilled",1967,5245.493,5.25
Emissions intensities,"Meat of chickens, fresh or chilled",1968,5452.1232,5.45
Emissions intensities,"Meat of chickens, fresh or chilled",1969,5681.7818,5.68
Emissions intensities,"Meat of chickens, fresh or chilled",1970,5950.4094,5.95
Emissions intensities,"Meat of chickens, fresh or chilled",1971,6032.0602,6.03
Emissions intensities,"Meat of chickens, fresh or chilled",1972,6397.29,6.4
Emissions intensities,"Meat of chickens, fresh or chilled",1973,6635.217,6.64
Emissions intensities,"Meat of chickens, fresh or chilled",1974,6711.093,6.71
Emissions intensities,"Meat of chickens, fresh or chilled",1975,6659.9271,6.66
Emissions intensities,"Meat of chickens, fresh or chilled",1976,7083.5124,7.08
Emissions intensities,"Meat of chickens, fresh or chilled",1977,7333.7529,7.33
Emissions intensities,"Meat of chickens, fresh or chilled",1978,7752.7362,7.75
Emissions intensities,"Meat of chickens, fresh or chilled",1979,8279.9937,8.28
Emissions intensities,"Meat of chickens, fresh or chilled",1980,9027.4447,9.03
Emissions intensities,"Meat of chickens, fresh or chilled",1981,9715.2045,9.72
Emissions intensities,"Meat of chickens, fresh or chilled",1982,9890.932,9.89
Emissions intensities,"Meat of chickens, fresh or chilled",1983,10308.9065,10.31
Emissions intensities,"Meat of chickens, fresh or chilled",1984,10764.2116,10.76
Emissions intensities,"Meat of chickens, fresh or chilled",1985,11232.675,11.23
Emissions intensities,"Meat of chickens, fresh or chilled",1986,12055.8885,12.06
Emissions intensities,"Meat of chickens, fresh or chilled",1987,13272.5655,13.27
Emissions intensities,"Meat of chickens, fresh or chilled",1988,14189.7916,14.19
Emissions intensities,"Meat of chickens, fresh or chilled",1989,14999.2291,15
Emissions intensities,"Meat of chickens, fresh or chilled",1990,15800.7811,15.8
Emissions intensities,"Meat of chickens, fresh or chilled",1991,17065.7632,17.07
Emissions intensities,"Meat of chickens, fresh or chilled",1992,18024.7831,18.02
Emissions intensities,"Meat of chickens, fresh or chilled",1993,19474.4726,19.47
Emissions intensities,"Meat of chickens, fresh or chilled",1994,20332.6693,20.33
Emissions intensities,"Meat of chickens, fresh or chilled",1995,21223.7586,21.22
Emissions intensities,"Meat of chickens, fresh or chilled",1996,22715.3935,22.72
Emissions intensities,"Meat of chickens, fresh or chilled",1997,24032.3499,24.03
Emissions intensities,"Meat of chickens, fresh or chilled",1998,19439.2439,19.44
Emissions intensities,"Meat of chickens, fresh or chilled",1999,20402.3813,20.4
Emissions intensities,"Meat of chickens, fresh or chilled",2000,21782.6787,21.78
Emissions intensities,"Meat of chickens, fresh or chilled",2001,22956.6134,22.96
Emissions intensities,"Meat of chickens, fresh or chilled",2002,24952.4016,24.95
Emissions intensities,"Meat of chickens, fresh or chilled",2003,24743.1501,24.74
Emissions intensities,"Meat of chickens, fresh or chilled",2004,25203.363,25.2
Emissions intensities,"Meat of chickens, fresh or chilled",2005,26106.6117,26.11
Emissions intensities,"Meat of chickens, fresh or chilled",2006,26142.7159,26.14
Emissions intensities,"Meat of chickens, fresh or chilled",2007,27866.1348,27.87
Emissions intensities,"Meat of chickens, fresh or chilled",2008,29082.328,29.08
Emissions intensities,"Meat of chickens, fresh or chilled",2009,29981.8177,29.98
Emissions intensities,"Meat of chickens, fresh or chilled",2010,30304.6247,30.3
Emissions intensities,"Meat of chickens, fresh or chilled",2011,28687.5447,28.69
Emissions intensities,"Meat of chickens, fresh or chilled",2012,29444.8388,29.44
Emissions intensities,"Meat of chickens, fresh or chilled",2013,30246.3955,30.25
Emissions intensities,"Meat of chickens, fresh or chilled",2014,29844.8414,29.84
Emissions intensities,"Meat of chickens, fresh or chilled",2015,30995.2766,31
Emissions intensities,"Meat of chickens, fresh or chilled",2016,33089.5032,33.09
Emissions intensities,"Meat of chickens, fresh or chilled",2017,40898.0242,40.9
Emissions intensities,"Meat of chickens, fresh or chilled",2018,41952.9729,41.95
Emissions intensities,"Meat of chickens, fresh or chilled",2019,41864.6918,41.86
Emissions intensities,"Meat of chickens, fresh or chilled",2020,40814.4843,40.81
