Domain,Item,Year,Value,ValueK
Emissions intensities,Raw milk of cattle,1961,326082.4086,326.08
Emissions intensities,Raw milk of cattle,1962,316197.2332,316.2
Emissions intensities,Raw milk of cattle,1963,310981.236,310.98
Emissions intensities,Raw milk of cattle,1964,304333.3413,304.33
Emissions intensities,Raw milk of cattle,1965,300646.8621,300.65
Emissions intensities,Raw milk of cattle,1966,309472.2809,309.47
Emissions intensities,Raw milk of cattle,1967,302025.3626,302.03
Emissions intensities,Raw milk of cattle,1968,302425.4374,302.43
Emissions intensities,Raw milk of cattle,1969,302456.6724,302.46
Emissions intensities,Raw milk of cattle,1970,296039.2777,296.04
Emissions intensities,Raw milk of cattle,1971,296589.0716,296.59
Emissions intensities,Raw milk of cattle,1972,300219.871,300.22
Emissions intensities,Raw milk of cattle,1973,293669.1916,293.67
Emissions intensities,Raw milk of cattle,1974,295602.9765,295.6
Emissions intensities,Raw milk of cattle,1975,299089.1183,299.09
Emissions intensities,Raw milk of cattle,1976,302067.6238,302.07
Emissions intensities,Raw milk of cattle,1977,305937.4022,305.94
Emissions intensities,Raw milk of cattle,1978,305589.5827,305.59
Emissions intensities,Raw milk of cattle,1979,309509.6679,309.51
Emissions intensities,Raw milk of cattle,1980,315965.2016,315.97
Emissions intensities,Raw milk of cattle,1981,317282.8643,317.28
Emissions intensities,Raw milk of cattle,1982,319607.6866,319.61
Emissions intensities,Raw milk of cattle,1983,322515.8175,322.52
Emissions intensities,Raw milk of cattle,1984,324191.2905,324.19
Emissions intensities,Raw milk of cattle,1985,324103.0213,324.1
Emissions intensities,Raw milk of cattle,1986,327951.5266,327.95
Emissions intensities,Raw milk of cattle,1987,323843.8339,323.84
Emissions intensities,Raw milk of cattle,1988,320779.7563,320.78
Emissions intensities,Raw milk of cattle,1989,320953.6462,320.95
Emissions intensities,Raw milk of cattle,1990,317585.5648,317.59
Emissions intensities,Raw milk of cattle,1991,312116.0355,312.12
Emissions intensities,Raw milk of cattle,1992,310498.9993,310.5
Emissions intensities,Raw milk of cattle,1993,307131.4131,307.13
Emissions intensities,Raw milk of cattle,1994,309401.5629,309.4
Emissions intensities,Raw milk of cattle,1995,311768.433,311.77
Emissions intensities,Raw milk of cattle,1996,305561.0665,305.56
Emissions intensities,Raw milk of cattle,1997,307507.955,307.51
Emissions intensities,Raw milk of cattle,1998,307631.2452,307.63
Emissions intensities,Raw milk of cattle,1999,307678.9799,307.68
Emissions intensities,Raw milk of cattle,2000,307790.7476,307.79
Emissions intensities,Raw milk of cattle,2001,311503.416,311.5
Emissions intensities,Raw milk of cattle,2002,315385.8206,315.39
Emissions intensities,Raw milk of cattle,2003,319080.0119,319.08
Emissions intensities,Raw milk of cattle,2004,326030.2518,326.03
Emissions intensities,Raw milk of cattle,2005,332735.1482,332.74
Emissions intensities,Raw milk of cattle,2006,338409.7171,338.41
Emissions intensities,Raw milk of cattle,2007,346726.6639,346.73
Emissions intensities,Raw milk of cattle,2008,350551.0985,350.55
Emissions intensities,Raw milk of cattle,2009,354797.3992,354.8
Emissions intensities,Raw milk of cattle,2010,358768.7599,358.77
Emissions intensities,Raw milk of cattle,2011,363151.8692,363.15
Emissions intensities,Raw milk of cattle,2012,366240.2489,366.24
Emissions intensities,Raw milk of cattle,2013,368160.2695,368.16
Emissions intensities,Raw milk of cattle,2014,373004.5858,373
Emissions intensities,Raw milk of cattle,2015,373105.1143,373.11
Emissions intensities,Raw milk of cattle,2016,371845.4032,371.85
Emissions intensities,Raw milk of cattle,2017,366419.3655,366.42
Emissions intensities,Raw milk of cattle,2018,371432.7512,371.43
Emissions intensities,Raw milk of cattle,2019,366183.2801,366.18
Emissions intensities,Raw milk of cattle,2020,367256.8939,367.26
