Domain,Area,Element,Item,Year,Value,ValueK
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1961,59011.435,59.01
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1962,59310.0918,59.31
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1963,58874.4922,58.87
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1964,60085.325,60.09
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1965,60450.8631,60.45
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1966,60970.244,60.97
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1967,63070.5528,63.07
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1968,63373.657,63.37
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1969,64218.9517,64.22
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1970,64910.4279,64.91
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1971,63932.6135,63.93
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1972,64511.3821,64.51
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1973,66328.4233,66.33
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1974,67563.6253,67.56
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1975,67959.6249,67.96
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1976,68127.1632,68.13
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1977,68645.0088,68.65
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1978,72087.1592,72.09
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1979,72620.2356,72.62
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1980,73214.235,73.21
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1981,74021.465,74.02
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1982,76951.8621,76.95
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1983,78930.3492,78.93
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1984,79041.5216,79.04
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1985,80342.228,80.34
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1986,82482.1611,82.48
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1987,80444.274,80.44
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1988,81438.8423,81.44
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1989,81027.6119,81.03
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1990,83266.5328,83.27
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1991,83314.994,83.31
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1992,88816.6196,88.82
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1993,90193.4797,90.19
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1994,90462.5493,90.46
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1995,91273.4194,91.27
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1996,92086.2787,92.09
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1997,93681.3224,93.68
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1998,93827.5377,93.83
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",1999,96485.3043,96.49
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",2000,98177.441,98.18
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",2001,98675.4867,98.68
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",2002,99986.8546,99.99
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",2003,101930.2989,101.93
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",2004,102876.1287,102.88
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",2005,104157.0351,104.16
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",2006,105884.2026,105.88
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",2007,106968.6323,106.97
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",2008,107580.9086,107.58
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",2009,107417.9396,107.42
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",2010,106986.9092,106.99
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",2011,106417.279,106.42
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",2012,106711.5098,106.71
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",2013,106788.6033,106.79
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",2014,107033.7742,107.03
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",2015,105756.1348,105.76
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",2016,106614.2446,106.61
Emissions intensities,India,Emissions (CO2eq),"Meat, buffalo",2017,106831.6637,106.83
