Domain,Area,Element,Item,Year,Value,ValueK
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1961,18982.0889,18.98
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1962,19190.7502,19.19
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1963,19343.0577,19.34
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1964,19419.2115,19.42
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1965,19571.519,19.57
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1966,19684.2266,19.68
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1967,18956.1966,18.96
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1968,19799.9804,19.8
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1969,20104.5954,20.1
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1970,20561.5181,20.56
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1971,22693.8236,22.69
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1972,22952.7465,22.95
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1973,22998.4387,23
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1974,23150.7463,23.15
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1975,23303.0538,23.3
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1976,24673.8217,24.67
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1977,25829.8481,25.83
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1978,24369.2066,24.37
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1979,25892.282,25.89
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1980,27415.3574,27.42
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1981,28786.1253,28.79
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1982,29334.4324,29.33
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1983,30080.7394,30.08
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1984,32746.1214,32.75
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1985,34269.1968,34.27
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1986,35030.7345,35.03
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1987,35259.1958,35.26
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1988,36553.8099,36.55
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1989,39295.3456,39.3
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1990,39447.6532,39.45
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1991,41820.8819,41.82
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1992,39435.4686,39.44
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1993,39752.2682,39.75
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1994,41198.1816,41.2
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1995,42125.1405,42.13
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1996,43072.9565,43.07
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1997,43270.5724,43.27
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1998,45083.0322,45.08
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",1999,44411.3559,44.41
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",2000,44734.2479,44.73
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",2001,46280.1695,46.28
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",2002,47041.7072,47.04
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",2003,47212.2916,47.21
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",2004,49011.0437,49.01
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",2005,50524.9806,50.52
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",2006,51642.918,51.64
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",2007,53472.1316,53.47
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",2008,53886.4081,53.89
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",2009,55083.5453,55.08
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",2010,56553.3131,56.55
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",2011,58170.8192,58.17
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",2012,58850.0194,58.85
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",2013,59835.8468,59.84
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",2014,60504.521,60.5
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",2015,62735.5981,62.74
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",2016,64836.4978,64.84
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh buffalo",2017,65777.9716,65.78
