Domain,Area,Element,Item,Year,Value,ValueK
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1961,302.1762,0.3
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1962,290.1058,0.29
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1963,286.3598,0.29
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1964,289.2733,0.29
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1965,285.5274,0.29
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1966,277.6192,0.28
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1967,303.8411,0.3
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1968,305.9222,0.31
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1969,312.1655,0.31
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1970,318.4088,0.32
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1971,328.8143,0.33
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1972,287.1922,0.29
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1973,287.1922,0.29
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1974,287.1922,0.29
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1975,253.8946,0.25
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1976,233.0836,0.23
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1977,288.4409,0.29
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1978,382.5068,0.38
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1979,437.4479,0.44
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1980,465.3347,0.47
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1981,520.2758,0.52
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1982,451.5994,0.45
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1983,590.2009,0.59
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1984,613.9254,0.61
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1985,678.4396,0.68
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1986,720.8942,0.72
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1987,661.7908,0.66
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1988,668.0341,0.67
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1989,665.953,0.67
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1990,636.8176,0.64
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1991,653.4664,0.65
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1992,724.328,0.72
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1993,732.5483,0.73
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1994,718.9462,0.72
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1995,741.5553,0.74
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1996,763.9439,0.76
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1997,758.7577,0.76
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1998,811.6303,0.81
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",1999,861.5767,0.86
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",2000,832.4413,0.83
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",2001,878.2256,0.88
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",2002,948.9831,0.95
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",2003,1071.3478,1.07
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",2004,1169.8963,1.17
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",2005,1317.4882,1.32
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",2006,1427.6202,1.43
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",2007,1538.9092,1.54
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",2008,1558.5632,1.56
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",2009,1539.0632,1.54
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",2010,1496.9042,1.5
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",2011,1545.3274,1.55
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",2012,1542.6323,1.54
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",2013,1599.2627,1.6
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",2014,1666.5017,1.67
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",2015,1508.0739,1.51
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",2016,1634.1189,1.63
Emissions intensities,India,Emissions (CO2eq),"Meat, chicken",2017,1582.8579,1.58
