Domain,Area,Element,Item,Year,Value,ValueK
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1961,893.2411,0.89
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1962,886.1656,0.89
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1963,878.3997,0.88
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1964,871.4968,0.87
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1965,864.5939,0.86
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1966,858.5538,0.86
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1967,915.3305,0.92
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1968,964.3414,0.96
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1969,983.6697,0.98
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1970,1035.4417,1.04
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1971,1127.4235,1.13
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1972,1190.0677,1.19
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1973,1190.758,1.19
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1974,1225.2727,1.23
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1975,1259.7874,1.26
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1976,1277.0448,1.28
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1977,1319.6705,1.32
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1978,1397.8463,1.4
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1979,1484.1332,1.48
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1980,1553.1626,1.55
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1981,1656.7068,1.66
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1982,1738.1615,1.74
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1983,1760.251,1.76
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1984,1777.5083,1.78
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1985,1794.7657,1.79
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1986,1812.023,1.81
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1987,1830.3158,1.83
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1988,1898.3099,1.9
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1989,1967.3393,1.97
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1990,2053.6261,2.05
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1991,2122.6556,2.12
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1992,2206.8715,2.21
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1993,2226.1997,2.23
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1994,2243.4571,2.24
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1995,2260.7145,2.26
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1996,2277.9718,2.28
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1997,2293.676,2.29
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1998,2300.0612,2.3
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",1999,2306.619,2.31
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",2000,2313.0043,2.31
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",2001,2319.3895,2.32
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",2002,2325.9473,2.33
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",2003,2333.0228,2.33
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",2004,2222.4031,2.22
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",2005,2117.1332,2.12
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",2006,2016.6954,2.02
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",2007,1921.4347,1.92
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",2008,1892.6149,1.89
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",2009,1864.1403,1.86
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",2010,1836.1834,1.84
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",2011,1808.7441,1.81
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",2012,1776.4204,1.78
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",2013,1748.1708,1.75
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",2014,1725.7362,1.73
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",2015,1703.0152,1.7
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",2016,1570.5815,1.57
Emissions intensities,India,Emissions (CO2eq),"Meat, pig",2017,1518.7083,1.52
