Domain,Area,Element,Item,Year,Value,ValueK
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1961,7895.0415,7.9
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1962,7965.1125,7.97
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1963,8035.1851,8.04
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1964,8104.4725,8.1
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1965,8175.1339,8.18
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1966,8246.7783,8.25
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1967,8179.2558,8.18
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1968,8112.3238,8.11
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1969,8045.7843,8.05
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1970,7980.0299,7.98
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1971,7870.8972,7.87
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1972,7849.8967,7.85
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1973,7890.5254,7.89
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1974,7929.7818,7.93
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1975,7957.2612,7.96
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1976,7992.5919,7.99
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1977,8029.2982,8.03
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1978,8285.0517,8.29
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1979,8551.9948,8.55
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1980,8826.7893,8.83
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1981,9111.3978,9.11
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1982,9571.4821,9.57
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1983,9460.7792,9.46
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1984,9323.382,9.32
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1985,9211.5014,9.21
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1986,9093.7324,9.09
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1987,8970.86,8.97
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1988,9162.6273,9.16
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1989,9358.7127,9.36
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1990,9558.9201,9.56
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1991,8454.0917,8.45
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1992,8634.39,8.63
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1993,8862.8753,8.86
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1994,9088.4962,9.09
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1995,9314.2023,9.31
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1996,9557.3893,9.56
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1997,9799.6261,9.8
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1998,9911.2028,9.91
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",1999,10024.3618,10.02
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",2000,10138.5811,10.14
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",2001,10254.2095,10.25
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",2002,10371.2471,10.37
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",2003,10489.6947,10.49
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",2004,10903.943,10.9
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",2005,11334.4877,11.33
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",2006,11781.8709,11.78
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",2007,12248.2074,12.25
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",2008,12021.98,12.02
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",2009,11799.5033,11.8
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",2010,11581.1238,11.58
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",2011,11366.8387,11.37
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",2012,11113.7852,11.11
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",2013,10892.151,10.89
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",2014,10752.3568,10.75
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",2015,10615.6469,10.62
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",2016,10978.777,10.98
Emissions intensities,India,Emissions (CO2eq),"Meat, sheep",2017,10763.1841,10.76
