Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","867","Meat, cattle","1961","1961","gigagrams","9675.3898","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","867","Meat, cattle","1962","1962","gigagrams","10021.596","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","867","Meat, cattle","1963","1963","gigagrams","9954.193","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","867","Meat, cattle","1964","1964","gigagrams","9945.0017","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","867","Meat, cattle","1965","1965","gigagrams","10364.7383","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","867","Meat, cattle","1966","1966","gigagrams","10318.7818","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","867","Meat, cattle","1967","1967","gigagrams","10372.3978","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","867","Meat, cattle","1968","1968","gigagrams","11991.6009","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","867","Meat, cattle","1969","1969","gigagrams","9796.4088","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","867","Meat, cattle","1970","1970","gigagrams","9310.801","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","867","Meat, cattle","1971","1971","gigagrams","9465.5215","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","867","Meat, cattle","1972","1972","gigagrams","9525.265","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","867","Meat, cattle","1973","1973","gigagrams","9679.9855","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","867","Meat, cattle","1974","1974","gigagrams","9641.6883","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","867","Meat, cattle","1975","1975","gigagrams","9424.1605","Fc","Calculated data"
