Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1991","1991","gigagrams","474.8137","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1992","1992","gigagrams","478.524","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1993","1993","gigagrams","445.5621","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1994","1994","gigagrams","451.2589","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1995","1995","gigagrams","455.0433","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1996","1996","gigagrams","459.2387","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1997","1997","gigagrams","446.917","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1998","1998","gigagrams","419.2903","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1999","1999","gigagrams","380.2363","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2000","2000","gigagrams","368.2798","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2001","2001","gigagrams","359.5149","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2002","2002","gigagrams","368.1704","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2003","2003","gigagrams","375.1764","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2004","2004","gigagrams","368.3804","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2005","2005","gigagrams","334.2805","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2006","2006","gigagrams","339.1517","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2007","2007","gigagrams","329.0441","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2008","2008","gigagrams","309.3531","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2009","2009","gigagrams","309.7095","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2010","2010","gigagrams","318.3209","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2011","2011","gigagrams","226.1393","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2012","2012","gigagrams","244.5266","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2013","2013","gigagrams","198.6484","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2014","2014","gigagrams","230.4706","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2015","2015","gigagrams","232.152","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2016","2016","gigagrams","233.3393","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2017","2017","gigagrams","238.9109","Fc","Calculated data"
