Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1961","1961","gigagrams","208.1103","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1962","1962","gigagrams","210.1914","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1963","1963","gigagrams","210.1914","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1964","1964","gigagrams","213.5212","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1965","1965","gigagrams","214.7699","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1966","1966","gigagrams","218.5158","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1967","1967","gigagrams","226.8403","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1968","1968","gigagrams","210.0624","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1969","1969","gigagrams","209.2591","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1970","1970","gigagrams","212.9302","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1971","1971","gigagrams","242.4069","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1972","1972","gigagrams","246.0988","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1973","1973","gigagrams","249.3495","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1974","1974","gigagrams","314.6628","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1975","1975","gigagrams","286.672","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1976","1976","gigagrams","292.204","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1977","1977","gigagrams","305.9347","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1978","1978","gigagrams","327.4391","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1979","1979","gigagrams","353.5835","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1980","1980","gigagrams","434.8465","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1981","1981","gigagrams","564.704","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1982","1982","gigagrams","600.9365","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1983","1983","gigagrams","668.4379","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1984","1984","gigagrams","1002.9003","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1985","1985","gigagrams","1086.9977","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1986","1986","gigagrams","1242.3146","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1987","1987","gigagrams","1442.4376","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1988","1988","gigagrams","1545.5771","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1989","1989","gigagrams","1722.3335","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1990","1990","gigagrams","2019.3486","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1991","1991","gigagrams","2371.4546","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1992","1992","gigagrams","2612.9208","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1993","1993","gigagrams","2900.1755","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1994","1994","gigagrams","3340.4204","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1995","1995","gigagrams","3622.9676","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1996","1996","gigagrams","3905.7105","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1997","1997","gigagrams","3462.2565","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1998","1998","gigagrams","2295.5318","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","1999","1999","gigagrams","2212.3417","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","2000","2000","gigagrams","2998.8572","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","2001","2001","gigagrams","3409.5297","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","2002","2002","gigagrams","4421.9531","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","2003","2003","gigagrams","4354.9582","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","2004","2004","gigagrams","4006.4317","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","2005","2005","gigagrams","4184.4035","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","2006","2006","gigagrams","4113.9831","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","2007","2007","gigagrams","4380.306","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","2008","2008","gigagrams","4318.002","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","2009","2009","gigagrams","4847.9716","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","2010","2010","gigagrams","4752.9317","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","2011","2011","gigagrams","5656.3012","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","2012","2012","gigagrams","5971.451","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","2013","2013","gigagrams","6463.9982","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","2014","2014","gigagrams","6705.839","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","2015","2015","gigagrams","7548.7191","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","2016","2016","gigagrams","8019.4438","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1058","Meat, chicken","2017","2017","gigagrams","8361.4107","Fc","Calculated data"
