Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1961","1961","gigagrams","12.9868","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1962","1962","gigagrams","17.1275","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1963","1963","gigagrams","22.3975","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1964","1964","gigagrams","24.8443","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1965","1965","gigagrams","25.7854","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1966","1966","gigagrams","26.35","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1967","1967","gigagrams","26.35","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1968","1968","gigagrams","24.4679","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1969","1969","gigagrams","22.9622","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1970","1970","gigagrams","20.7036","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1971","1971","gigagrams","29.4932","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1972","1972","gigagrams","40.4096","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1973","1973","gigagrams","43.1011","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1974","1974","gigagrams","52.5118","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1975","1975","gigagrams","61.7343","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1976","1976","gigagrams","64.5575","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1977","1977","gigagrams","61.9225","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1978","1978","gigagrams","72.2743","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1979","1979","gigagrams","78.109","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1980","1980","gigagrams","80.1793","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1981","1981","gigagrams","86.2022","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","947","Meat, buffalo","1982","1982","gigagrams","95.0482","Fc","Calculated data"
