Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1058","Meat, chicken","1961","1961","gigagrams","203.3406","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1058","Meat, chicken","1962","1962","gigagrams","211.0138","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1058","Meat, chicken","1963","1963","gigagrams","222.5236","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1058","Meat, chicken","1964","1964","gigagrams","218.687","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1058","Meat, chicken","1965","1965","gigagrams","237.8701","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1058","Meat, chicken","1966","1966","gigagrams","234.0335","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1058","Meat, chicken","1967","1967","gigagrams","237.8701","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1058","Meat, chicken","1968","1968","gigagrams","227.1276","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1058","Meat, chicken","1969","1969","gigagrams","214.8504","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1058","Meat, chicken","1970","1970","gigagrams","237.8701","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1058","Meat, chicken","1971","1971","gigagrams","212.5484","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1058","Meat, chicken","1972","1972","gigagrams","238.6374","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1058","Meat, chicken","1973","1973","gigagrams","285.8278","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1058","Meat, chicken","1974","1974","gigagrams","293.501","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1058","Meat, chicken","1975","1975","gigagrams","277.7709","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1058","Meat, chicken","1976","1976","gigagrams","279.6892","Fc","Calculated data"
