Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1035","Meat, pig","1961","1961","gigagrams","1165.1661","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1035","Meat, pig","1962","1962","gigagrams","1203.5714","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1035","Meat, pig","1963","1963","gigagrams","1258.9218","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1035","Meat, pig","1964","1964","gigagrams","1351.5755","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1035","Meat, pig","1965","1965","gigagrams","1453.676","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1035","Meat, pig","1966","1966","gigagrams","1391.0827","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1035","Meat, pig","1967","1967","gigagrams","1422.2584","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1035","Meat, pig","1968","1968","gigagrams","1662.2578","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1035","Meat, pig","1969","1969","gigagrams","1961.4911","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1035","Meat, pig","1970","1970","gigagrams","2479.0083","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1035","Meat, pig","1971","1971","gigagrams","2413.5392","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1035","Meat, pig","1972","1972","gigagrams","2202.6945","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1035","Meat, pig","1973","1973","gigagrams","2147.2824","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1035","Meat, pig","1974","1974","gigagrams","2204.0706","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1035","Meat, pig","1975","1975","gigagrams","2368.7913","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1035","Meat, pig","1976","1976","gigagrams","2388.5718","Fc","Calculated data"
