Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1961","1961","gigagrams","403.461","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1962","1962","gigagrams","430.6971","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1963","1963","gigagrams","431.939","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1964","1964","gigagrams","492.8886","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1965","1965","gigagrams","508.3835","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1966","1966","gigagrams","527.6604","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1967","1967","gigagrams","542.1337","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1968","1968","gigagrams","569.6294","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1969","1969","gigagrams","575.9516","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1970","1970","gigagrams","531.64","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1971","1971","gigagrams","519.6787","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1972","1972","gigagrams","526.6303","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1973","1973","gigagrams","527.0536","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1974","1974","gigagrams","526.9972","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1975","1975","gigagrams","571.591","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1976","1976","gigagrams","579.5784","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1977","1977","gigagrams","601.5083","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1978","1978","gigagrams","661.1455","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1979","1979","gigagrams","711.8075","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1980","1980","gigagrams","687.5349","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1981","1981","gigagrams","702.2678","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1982","1982","gigagrams","717.7345","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1983","1983","gigagrams","1180.2964","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1984","1984","gigagrams","1187.2677","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1985","1985","gigagrams","1085.0689","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1986","1986","gigagrams","1144.6496","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1987","1987","gigagrams","1171.4059","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1988","1988","gigagrams","1177.8974","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1989","1989","gigagrams","1194.7189","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1990","1990","gigagrams","1001.4979","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1991","1991","gigagrams","1212.7822","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1992","1992","gigagrams","1167.2288","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1993","1993","gigagrams","1144.7625","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1994","1994","gigagrams","1123.5946","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1995","1995","gigagrams","1109.6237","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1996","1996","gigagrams","1126.6907","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1997","1997","gigagrams","1180.7359","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1998","1998","gigagrams","1177.9852","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","1999","1999","gigagrams","1135.7309","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","2000","2000","gigagrams","1389.1817","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","2001","2001","gigagrams","201.2366","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","2002","2002","gigagrams","626.9615","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","2003","2003","gigagrams","537.9481","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","2004","2004","gigagrams","804.8448","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","2005","2005","gigagrams","1031.8668","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","2006","2006","gigagrams","600.6052","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","2007","2007","gigagrams","720.5569","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","2008","2008","gigagrams","739.4669","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","2009","2009","gigagrams","743.1078","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","2010","2010","gigagrams","732.7214","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","2011","2011","gigagrams","686.131","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","2012","2012","gigagrams","483.7533","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","2013","2013","gigagrams","546.2225","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","2014","2014","gigagrams","571.2571","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","2015","2015","gigagrams","567.7198","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","2016","2016","gigagrams","586.6544","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","977","Meat, sheep","2017","2017","gigagrams","588.6631","Fc","Calculated data"
