Domain,Area,Element,Item,Year,Value
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1961","1192.4398"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1962","1347.8926"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1963","1542.2616"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1964","1682.0634"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1965","1817.6352"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1966","1871.3563"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1967","1932.2685"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1968","2046.2673"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1969","2321.6409"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1970","2533.7759"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1971","2633.1811"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1972","2612.0311"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1973","2565.501"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1974","2569.731"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1975","2612.0311"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1976","2696.6313"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1977","2800.2665"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1978","2912.3618"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1979","3060.4121"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1980","3007.537"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1981","3081.5622"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1982","3090.0222"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1983","3106.9422"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1984","3117.5172"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1985","3094.2522"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1986","3087.9072"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1987","2996.962"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1988","2933.5118"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1989","2956.7769"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1990","2950.4319"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1991","2990.6169"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1992","2999.077"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1993","2994.847"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1994","2927.1668"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1995","2838.3366"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1996","2821.4166"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1997","2789.6915"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1998","2751.6214"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","1999","2705.0913"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","2000","2645.8711"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","2001","2580.306"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","2002","2578.191"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","2003","2559.1559"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","2004","2493.5908"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","2005","2421.6806"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","2006","2392.0706"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","2007","2311.7004"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","2008","2273.6303"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","2009","2231.3302"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","2010","2176.3401"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","2011","2114.1589"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","2012","1993.6036"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","2013","1952.9955"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","2014","1889.5454"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","2015","1839.4198"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","2016","1842.1693"
"Emissions intensities","Japan","Emissions (CO2eq)","Milk, whole fresh cow","2017","1802.1957"
