Domain,Area,Element,Item,Year,Value
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1961","144.9745"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1962","135.9777"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1963","127.1388"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1964","111.4339"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1965","91.7065"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1966","77.7551"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1967","67.1624"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1968","61.8562"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1969","55.6979"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1970","46.833"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1971","46.2388"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1972","39.6206"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1973","33.3893"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1974","30.2453"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1975","27.0039"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1976","22.9947"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1977","20.0287"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1978","19.1318"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1979","17.2308"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1980","16.3291"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1981","15.0374"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1982","14.5987"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1983","13.965"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1984","13.2582"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1985","12.3077"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1986","11.5766"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1987","11.6009"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1988","9.9924"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1989","8.8957"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1990","8.4082"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1991","5.0189"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1992","4.8076"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1993","4.6119"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1994","4.1934"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1995","4.0442"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1996","3.8953"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1997","3.8208"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1998","3.8939"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","1999","4.4873"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","2000","4.7856"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","2001","4.2621"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","2002","3.7435"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","2003","2.8676"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","2004","2.5795"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","2005","2.4362"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","2006","1.9415"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","2007","1.8016"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","2008","1.8708"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","2009","1.7316"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","2010","1.87"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","2011","1.9393"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","2012","2.009"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","2013","2.1067"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","2014","2.1486"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","2015","2.1715"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","2016","1.9861"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, goat","2017","2.0009"
