Domain,Area,Element,Item,Year,Value
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1961","350.1358"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1962","527.3418"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1963","428.363"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1964","453.768"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1965","521.1792"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1966","672.6029"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1967","772.462"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1968","718.0048"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1969","706.9373"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1970","828.1769"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1971","891.8151"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1972","900.7446"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1973","941.9962"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1974","1008.4013"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1975","966.395"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1976","938.0974"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1977","1022.7387"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1978","1104.2359"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1979","1193.6563"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1980","1257.4203"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1981","1265.8467"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1982","1262.7025"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1983","1292.0063"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1984","1310.8713"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1985","1347.9727"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1986","1391.1108"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1987","1427.9606"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1988","1474.6202"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1989","1492.3534"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1990","1486.1908"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1991","1425.571"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1992","1379.1629"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1993","1356.1475"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1994","1335.7732"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1995","1289.1136"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1996","1245.0951"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1997","1235.411"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1998","1245.5982"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","1999","1242.454"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","2000","1233.273"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","2001","1231.0092"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","2002","1208.8741"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","2003","1223.0858"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","2004","1222.9601"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","2005","1207.3649"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","2006","1209.8803"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","2007","1227.3619"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","2008","1225.6012"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","2009","1244.9693"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","2010","1232.5184"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","2011","1228.4938"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","2012","1224.3435"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","2013","1218.0552"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","2014","1199.4416"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","2015","1183.2171"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","2016","1171.2698"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, pig","2017","1175.4201"
