Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1961","1961","gigagrams","145.4591","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1962","1962","gigagrams","146.1198","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1963","1963","gigagrams","206.2573","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1964","1964","gigagrams","220.9124","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1965","1965","gigagrams","221.7632","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1966","1966","gigagrams","290.3863","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1967","1967","gigagrams","376.0399","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1968","1968","gigagrams","432.4458","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1969","1969","gigagrams","453.7548","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1970","1970","gigagrams","472.9746","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1971","1971","gigagrams","410.1968","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1972","1972","gigagrams","426.3874","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1973","1973","gigagrams","454.0347","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1974","1974","gigagrams","437.6519","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1975","1975","gigagrams","452.8857","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1976","1976","gigagrams","457.8076","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1977","1977","gigagrams","471.5976","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1978","1978","gigagrams","481.1811","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1979","1979","gigagrams","532.6563","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1058","Meat, chicken","1980","1980","gigagrams","539.8637","Fc","Calculated data"
