Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1961","1961","gigagrams","1636.066","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1962","1962","gigagrams","1685.6345","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1963","1963","gigagrams","1674.3244","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1964","1964","gigagrams","1727.5926","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1965","1965","gigagrams","1741.2292","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1966","1966","gigagrams","1736.5416","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1967","1967","gigagrams","1747.1953","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1968","1968","gigagrams","1745.4896","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1969","1969","gigagrams","1750.5305","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1970","1970","gigagrams","1678.2987","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1971","1971","gigagrams","1612.5334","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1972","1972","gigagrams","1703.6837","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1973","1973","gigagrams","1678.3728","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1974","1974","gigagrams","1666.6325","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1975","1975","gigagrams","1656.4444","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1976","1976","gigagrams","1640.7208","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1977","1977","gigagrams","1632.4751","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1978","1978","gigagrams","1653.35","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1979","1979","gigagrams","1692.459","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1980","1980","gigagrams","1763.8149","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1981","1981","gigagrams","1833.2553","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1982","1982","gigagrams","1883.5093","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1983","1983","gigagrams","1770.326","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1984","1984","gigagrams","1726.5969","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1985","1985","gigagrams","2020.2346","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1986","1986","gigagrams","1970.7917","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1987","1987","gigagrams","2066.0797","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1988","1988","gigagrams","2014.7286","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1989","1989","gigagrams","2046.7086","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1990","1990","gigagrams","2091.0944","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1991","1991","gigagrams","2002.1123","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1992","1992","gigagrams","1916.8417","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1993","1993","gigagrams","2051.4297","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1994","1994","gigagrams","2028.3002","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1995","1995","gigagrams","2001.3936","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1996","1996","gigagrams","1894.1495","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1997","1997","gigagrams","1758.552","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1998","1998","gigagrams","1777.0056","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","1999","1999","gigagrams","1772.4305","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","2000","2000","gigagrams","1694.8286","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","2001","2001","gigagrams","1683.67","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","2002","2002","gigagrams","1766.0202","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","2003","2003","gigagrams","1734.7842","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","2004","2004","gigagrams","1696.6042","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","2005","2005","gigagrams","1700.3858","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","2006","2006","gigagrams","1708.924","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","2007","2007","gigagrams","1705.6706","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","2008","2008","gigagrams","1718.4611","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","2009","2009","gigagrams","1725.7307","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","2010","2010","gigagrams","1752.0233","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","2011","2011","gigagrams","1728.9513","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","2012","2012","gigagrams","1680.9188","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","2013","2013","gigagrams","1667.8498","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","2014","2014","gigagrams","1691.3713","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","2015","2015","gigagrams","1698.6878","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","2016","2016","gigagrams","1704.6905","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1017","Meat, goat","2017","2017","gigagrams","1698.6577","Fc","Calculated data"
