Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1961","1961","gigagrams","1342.8798","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1962","1962","gigagrams","1501.8814","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1963","1963","gigagrams","1661.3316","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1964","1964","gigagrams","1820.3332","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1965","1965","gigagrams","2002.4338","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1966","1966","gigagrams","2038.9885","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1967","1967","gigagrams","2138.785","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1968","1968","gigagrams","2187.849","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1969","1969","gigagrams","2237.9087","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1970","1970","gigagrams","2309.3974","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1971","1971","gigagrams","2363.9439","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1972","1972","gigagrams","2550.3279","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1973","1973","gigagrams","2633.4841","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1974","1974","gigagrams","2761.2237","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1975","1975","gigagrams","2955.6363","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1976","1976","gigagrams","3161.3516","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1977","1977","gigagrams","3322.2819","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1978","1978","gigagrams","3483.7504","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1979","1979","gigagrams","3640.5319","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1980","1980","gigagrams","3787.7822","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1981","1981","gigagrams","3938.5327","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1982","1982","gigagrams","4058.1737","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1983","1983","gigagrams","4342.6203","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1984","1984","gigagrams","4349.1185","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1985","1985","gigagrams","3864.6806","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1986","1986","gigagrams","4125.6891","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1987","1987","gigagrams","4198.5867","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1988","1988","gigagrams","3562.2638","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1989","1989","gigagrams","3623.4222","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1990","1990","gigagrams","3409.4525","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1991","1991","gigagrams","3540.1971","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1992","1992","gigagrams","3700.7686","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1993","1993","gigagrams","3631.1669","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1994","1994","gigagrams","3654.0297","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1995","1995","gigagrams","3570.998","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1996","1996","gigagrams","3454.8197","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1997","1997","gigagrams","3528.7291","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1998","1998","gigagrams","3357.5431","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","1999","1999","gigagrams","3444.8484","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","2000","2000","gigagrams","3451.5031","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","2001","2001","gigagrams","3424.3352","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","2002","2002","gigagrams","3391.4859","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","2003","2003","gigagrams","3279.8738","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","2004","2004","gigagrams","3403.5818","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","2005","2005","gigagrams","3410.1948","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","2006","2006","gigagrams","3421.6491","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","2007","2007","gigagrams","3425.3148","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","2008","2008","gigagrams","3415.6491","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","2009","2009","gigagrams","3424.0263","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","2010","2010","gigagrams","3461.5736","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","2011","2011","gigagrams","3486.6569","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","2012","2012","gigagrams","3556.3213","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","2013","2013","gigagrams","3633.4061","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","2014","2014","gigagrams","3610.3193","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","2015","2015","gigagrams","3669.9234","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","2016","2016","gigagrams","3757.1101","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1035","Meat, pig","2017","2017","gigagrams","3859.6063","Fc","Calculated data"
