Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1961","1961","gigagrams","1118.8974","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1962","1962","gigagrams","1145.7797","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1963","1963","gigagrams","1094.2364","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1964","1964","gigagrams","1105.5433","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1965","1965","gigagrams","1160.8886","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1966","1966","gigagrams","1218.8623","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1967","1967","gigagrams","1279.7875","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1968","1968","gigagrams","1269.1324","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1969","1969","gigagrams","1281.8233","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1970","1970","gigagrams","1168.5635","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1971","1971","gigagrams","1175.6076","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1972","1972","gigagrams","1230.3164","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1973","1973","gigagrams","1224.1803","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1974","1974","gigagrams","1215.0048","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1975","1975","gigagrams","1210.0348","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1976","1976","gigagrams","1204.0898","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1977","1977","gigagrams","1203.7075","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1978","1978","gigagrams","1212.5007","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1979","1979","gigagrams","1223.7788","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1980","1980","gigagrams","1239.0713","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1981","1981","gigagrams","1255.3387","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1982","1982","gigagrams","1269.7034","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1983","1983","gigagrams","1198.4865","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1984","1984","gigagrams","1169.9418","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1985","1985","gigagrams","1218.2787","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1986","1986","gigagrams","1089.306","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1987","1987","gigagrams","1132.7887","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1988","1988","gigagrams","1101.2454","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1989","1989","gigagrams","1120.7327","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1990","1990","gigagrams","1117.4963","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1991","1991","gigagrams","951.7629","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1992","1992","gigagrams","959.3623","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1993","1993","gigagrams","999.5041","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1994","1994","gigagrams","1014.0852","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1995","1995","gigagrams","971.5361","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1996","1996","gigagrams","969.6842","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1997","1997","gigagrams","983.9241","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1998","1998","gigagrams","908.3564","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","1999","1999","gigagrams","931.6056","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","2000","2000","gigagrams","947.2566","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","2001","2001","gigagrams","966.39","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","2002","2002","gigagrams","1007.1255","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","2003","2003","gigagrams","1072.2455","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","2004","2004","gigagrams","1114.8069","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","2005","2005","gigagrams","1134.9583","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","2006","2006","gigagrams","1147.8833","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","2007","2007","gigagrams","1178.8248","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","2008","2008","gigagrams","1224.0323","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","2009","2009","gigagrams","1266.4102","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","2010","2010","gigagrams","1280.5179","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","2011","2011","gigagrams","1298.9665","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","2012","2012","gigagrams","1329.2488","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","2013","2013","gigagrams","1344.0672","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","2014","2014","gigagrams","1356.7909","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","2015","2015","gigagrams","1378.6867","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","2016","2016","gigagrams","1398.7295","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","977","Meat, sheep","2017","2017","gigagrams","1409.7747","Fc","Calculated data"
